FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
80995.7,28800.1,-82.8495,171.499,33.8028,767.824,384.052,677.225,494.607,27.9661,-6.05393,-26.7436,92.4291
90654.2,29377.5,-4.99786,-94.5528,56.8398,8838.37,203.165,327.971,284.478,3.99526,-0.705966,-12.4687,96.084
86502,36580.1,-304.198,169.99,135.882,-185.771,901.068,1052.45,500.957,2287.47,19.3111,-33.22,117.609
59274.3,43102.8,-14.1701,159.55,1043.56,-64.1183,2234.66,944.816,1029.94,-11.5667,-4.12612,24.0869,297.428
84754.7,23364.4,-90.6967,115.369,131.031,-7.22468,333.535,730.362,58.8307,1216.02,-2.5915,6.54252,47.2675
88305.2,38727.8,-165.792,186.695,121.473,-186.987,751.081,1296.88,338.538,2242.92,13.2307,-36.4229,200.943
82382,21124.8,-73.6819,184.404,183.933,-60.9518,550.094,556.781,70.4524,995.918,44.8946,-90.7396,138.079
84917.7,28690.8,-134.413,-174.945,168.235,17359.5,453.828,400.1,213.168,7.10895,5.43257,13.4076,159.541
94259.8,33389.7,-138.33,86.2171,-7.85505,-32.923,192.689,987.062,918.73,1.7779,-4.61407,-2.31282,79.645
79603.3,25736.4,-142.574,42.4519,50.5018,-119.838,460.847,694.8,222.657,1908.24,10.5237,32.2769,156.73
75808.7,36952.6,-40.5277,46.9953,566.456,7428.6,522.78,850.886,383.831,-0.398323,15.3457,24.1926,153.59
74246.9,21646.3,-25.515,-132.811,56.5698,18749.1,334.956,295.967,168.801,-41.8644,53.5837,-5.38985,111.205
169868,53405.9,-138.931,292.079,718.109,144.624,1823.21,964.134,403.877,833.874,67.0905,153.04,442.74
61974.4,31776.3,-56.9467,21.9644,641.268,3681.44,1107.54,83.8652,143.433,-2.0843,-2.9553,13.4206,197.052
85597.8,29387.1,-24.8063,104.909,117.12,2344.3,236.674,487.703,457.247,-23.5594,-18.3914,49.1351,54.7276
81876.4,35070.1,-78.2549,-116.857,45.2059,18896.9,604.745,250.127,682.649,-24.9015,15.3245,28.3818,119.108
85901.9,37219.6,-102.887,100.464,305.849,1916.45,404.648,251.77,222.741,43.9436,25.7328,38.8921,125.116
84538.5,34020,-59.3143,95.6485,406.489,2076.64,475.94,654.345,325.094,51.2368,9.71104,68.5365,170.576
82868,31471.9,-205.206,112.977,65.8442,-143.527,455.569,812.126,247.789,876.554,-16.5768,2.64094,156.583
103197,31850.9,-25.7426,-65.7923,271.35,4001.64,205.994,61.1752,42.2874,4.48943,8.63707,15.9846,67.919
85681.2,34210.3,-84.1646,112.373,87.6942,-22.9234,412.756,1286.83,206.71,26.7147,5.85343,-60.5555,170.385
32169.9,30355.9,-104.204,-174.007,36.4901,19630.4,540.57,235.933,64.0425,81.5771,7.36232,20.8969,183.82
67603.5,38117.8,-101.397,-115.238,201.902,18082.2,377.588,514.245,197.6,51.6231,-15.4259,-27.3651,57.3445
76386.6,27976.5,-94.6047,73.1993,97.3669,-55.4445,597.229,1265.08,53.2839,2433.62,-24.5702,-3.90814,178.54
85558.8,30440.3,-115.422,206.338,297.056,71.0715,785.332,1228.05,137.543,46.8036,-15.345,-63.1403,267.92
94740.8,55694.7,-57.4673,120.986,228.541,-21.4737,777.177,1164.03,1036.08,34.4254,-18.8576,40.7688,364.822
102348,35586.2,-61.7168,151.303,258.242,3892.57,724.63,1122.38,258.529,74.7329,17.6935,25.3972,206.047
83262.8,23803.7,-109.834,-137.934,131.015,15227.1,431.388,498.514,82.3803,20.1237,7.44766,29.2967,95.3066
84013.2,36815.1,-159.177,126.664,399.506,36.2781,844.608,624.824,32.4152,2033.49,-31.0757,39.7082,187.287
77873.8,32144.2,-206.881,150.222,346.595,165.819,688.876,1093.15,-60.1883,1075.17,12.8361,-47.6634,185.804
106804,35351.2,0.716278,69.6841,355.814,104.808,402.995,1152.23,513.666,-62.7506,22.1219,24.6356,216.882
85911,27419.4,-169.146,84.3176,302.392,2223.81,578.745,1088.73,221.795,-14.912,-15.0205,-23.1134,53.4768
76187.1,26638.3,-213.943,31.1682,462.875,-45.9537,421.841,888.135,112.962,1134.36,5.97061,-15.8626,130.332
87328.1,33354.4,-102.698,81.5289,35.2784,-182.701,348.558,674.283,122.744,2352.55,9.21424,-7.13376,180.312
104816,27319.9,-153.768,252.238,85.7698,-39.2746,249.813,1176.46,35.0145,1999.15,2.32278,-40.2624,53.6752
82621.9,26558.6,-43.8521,81.6786,138.436,61.5364,389.747,939.688,-44.4899,14.4259,35.7608,-43.4698,121.612
72570.7,19263.9,-118.709,448.611,226.746,4294.17,997.32,323.669,-8.83396,46.8201,-17.7617,4.82657,451.809
64375.9,17905.4,-142.486,-183.672,-72.4679,13117.9,116.044,173.383,58.7036,-1.48508,-19.7769,5.74076,95.9491
