"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
125222,48176.8,3024.83,681.025,121.78,-38.6387,106.515,1284.74,319.685,90.4698,-50.1351,4054.48,193.047
138851,50273.2,33463.7,1087.35,131.143,300.432,91.2065,599.139,104.915,152.024,-16.5007,2954.65,5859.21
77158.9,57291,14027.3,180.245,1413.91,6018.71,354.389,565.587,172.075,99.1764,9.64526,279.469,3029.86
136920,52422.4,20374.4,214.286,73.1479,-29.0687,154.585,1329.85,749.727,48.012,20.134,1863.26,13444
54304.9,31951.6,-77.5727,161.879,597.341,3769.18,235.039,558.27,296.416,68.8266,17.7155,-15.1729,185.261
114676,35840.2,3141.31,146.166,206.765,431.771,90.857,966.233,292.108,24.7514,13.681,355.124,786.584
57039,32171.9,-63.9852,351.114,312.019,-131.576,378.976,454.073,-54.1128,718.427,-22.0277,424.729,229.251
92382.5,41730.9,5792.64,131.094,295.601,-207.782,374.115,903.165,-91.4374,1205.85,-14.2019,3780.67,140.768
110029,44144.7,1680.77,4.14138,326.864,831.276,198.025,369.819,390.923,32.5525,0.805232,2194.24,1510.64
121276,34220.9,-87.4636,26.181,0.0515051,-45.4225,37.4723,744.93,648.155,713.721,-32.2052,186.803,81.4107
107674,46588.1,7128.82,471.709,479.964,-274.421,340.165,1245.2,917.017,1209.16,49.2254,4646.46,230.055
80966.8,42475.4,-243.729,115.767,2092.21,746.981,330.524,27.1927,160.269,50.2583,-21.3206,70.2,117.482
108632,54556.6,6764.43,437.45,609.856,6165.46,489.073,369.604,271.885,38.691,28.7375,1322.33,4864.96
113831,47291.5,-136.674,250.403,828.073,-51.3956,1278.28,500.326,311.517,46.5661,7.91524,42.4837,407.868
112520,56979.2,20812,1316.14,169.172,-352.219,472.98,1740.12,1939.24,601.146,-1.61754,2500.58,386.397
96443.1,60135.6,21.8502,177.861,415.5,-86.0186,514.148,703.741,9.23336,1430.81,22.8972,1828.89,257.072
126946,54596.7,26993.7,1257.46,353.049,239.103,699.039,580.689,320.206,164.543,76.2019,2636.07,12743.3
121878,42273.6,53.0683,88.5093,91.1951,1457.94,24.5712,191.209,270.019,-16.2631,2.31912,2352.94,61.095
88630.7,21408.5,-119.203,89.5276,935.387,11641.6,714.152,168.936,56.4762,64.4376,38.2873,104.531,326.96
114958,33841.4,321.472,1068.01,106.364,0.470245,100.438,717.666,3.16615,395.221,-24.2217,1008.68,203.923
72041.8,46606,-168.643,32.3469,1677.17,930.44,304.137,2.2131,306.301,32.8276,-2.6772,28.594,171.336
121526,48347.3,7273.5,1104.57,174.481,8845.77,241.135,933.087,543.567,95.5465,-7.92109,1736.92,6541.98
113016,55462.5,3417.72,610.165,545.636,76.0811,261.185,777.781,564.09,5.45729,-0.00469398,2827.29,4951.1
124289,50405.5,3106.98,333.64,475.52,-93.4024,195.533,875.398,211.841,109.073,31.6895,696.276,207.256
122732,46530.1,3581.91,190.311,263.391,-255.888,215.579,940.281,276.757,51.9877,13.3966,634.525,194.775
139380,37639.6,-152.821,85.8133,577.207,11227.2,40.5196,377.536,55.6889,114.931,-17.773,628.811,23.4993
98346,49197.1,-144.057,67.0213,138.18,-38.5701,423.163,572.613,320.959,808.997,-18.0805,-14.0823,195.333
134026,45200.2,22775,1282.93,78.97,-198.964,215.498,969.868,898.617,248.158,20.7812,1124.94,161.39
115504,30751.4,-227.675,177.603,169.124,-61.4988,525.859,792.67,-26.4537,895.602,5.31691,2223.23,93.8505
140656,48038,3549.3,616.454,165.819,-211.391,430.703,1177.97,984.917,2.78876,-11.8895,1700.54,118.354
104961,35300.1,6.35706,149.802,148.01,-108.892,-15.6799,706.35,-89.385,1402.99,-11.363,381.846,80.8384
130015,50811.7,7230.4,155.848,695.199,1083.53,143.629,454.811,258.637,34.9969,17.2418,544.785,636.501
