FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
81820.8,39366.4,1500.83,226.332,245.531,44.8512,933.435,1129.71,92.8347,867.393,701.306,1220.16,284.593
79510.1,33795.6,3422.92,819.407,102.962,-129.477,775.154,1127.17,418.393,584.196,48.0968,1893.97,518.301
52284.4,26679.6,16850,468.119,1866.08,806.928,1017.13,85.439,-136.56,81.6112,177.05,1779.46,5915.55
95631.4,43186.7,1475.22,339.35,205.681,372.928,582.52,263.359,171.486,51.0315,26.784,105.511,595.875
64241.1,27871.9,892.906,158.767,2471.23,1701.11,1053.46,477.687,188.673,-13.4413,20.3894,265.796,691.862
67814.9,34229.4,-55.1083,117.02,2249.78,1411.24,1108.53,93.5965,214.335,-5.78553,4.18956,68.9777,148.889
85839.9,28504.6,-95.9722,128.281,63.3135,30.0714,177.775,800.078,-59.5956,1103.8,-19.0141,567.989,155.967
62516.2,16007.6,-69.7956,167.256,195.325,5108.78,1158.66,485.089,78.1696,16.5545,4.32531,-32.218,340.754
74622.6,39471.2,1184.63,1119.9,190.122,-135.321,1064.7,875.6,345.689,818.351,5.06503,2426.78,438.056
100275,44285.4,3009.92,751.985,55.638,202.1,778.997,772.062,537.689,4.44223,51.4943,738.784,3647.49
83137.1,50084.5,-15.8893,18.5295,3241.98,7149.28,1983.27,111.568,296.296,-10.717,20.6205,62.9237,289.119
57548,30646.7,3486.61,743.669,285.125,-81.9062,702.879,977.607,303.111,476.865,28.2647,2363.1,210.783
72840.8,43734.4,9149.48,252.132,41.1089,792.025,1067.99,672.685,397.774,-23.9667,28.6795,1891.13,3778.53
73818.4,22988.3,-108.272,-82.2419,102.007,-21.2062,400.698,585.396,39.9894,947.809,5.12021,3133.33,224.343
91565.8,34764.8,8037.8,1284.92,79.43,1101.38,534.706,801.246,528.583,-1.33133,47.9636,2147.56,6049.69
90782.5,31698.1,7600.24,347.194,199.421,-112.046,635.417,734.314,314.971,-84.3199,147.183,1212.67,22339.9
90878.5,37499.8,1382.43,157.067,480.269,261.137,713.928,170.48,172.732,-20.0608,17.5703,532.521,3122.84
84018.9,29893.6,-30.2028,-65.4414,172.991,8591.47,453.396,360.4,100.441,2.77794,43.1791,2219.1,289.293
51590.4,29454.7,-130.85,129.832,87.2419,35.6294,254.735,816.546,17.1222,797.767,36.0952,-47.0123,146.575
70311.8,36672.9,109.334,95.9165,125.392,22.7509,687.503,818.071,288.844,428.034,5.59851,295.11,209.781
66965.5,49345.9,411.604,-111.237,489.571,6453.1,475.039,96.3499,435.044,-52.2905,9.39237,405.987,396.001
67983.2,21376.7,140.374,76.1843,-16.2518,-88.0804,368.257,561.973,14.2934,791.216,26.9638,328.784,171.201
106872,33966.2,5589.67,1860.98,149.215,955.494,583.408,718.572,368.365,43.6007,37.1948,2914.17,3153.94
77943.7,29634,-42.2626,216.062,371.449,-83.9997,1368,922.224,81.9954,1284.94,-9.32681,-11.6731,296.314
89952.6,40906.3,-121.453,174.789,165.132,-34.2182,578.287,1084.85,67.8849,854.181,0.257722,337.73,463.335
76443.4,36384.5,-162.851,207.247,248.35,-163.078,716.571,851.851,98.527,811.214,-27.7431,-11.016,91.9126
78030,32784.1,11327.3,18.0327,138.137,9204.13,298.32,744.922,170.023,118.226,41.3799,2505.67,5947.57
90481.5,38722.2,15.7669,33.5271,67.7679,389.752,444.866,608.531,302.896,-17.1674,-4.52523,-41.8679,236.754
74937.4,39983.5,-11.8191,75.7197,393.476,-64.013,821.706,1042.95,498.278,1214.14,18.0782,-20.548,230.31
68307.5,48307.9,2165.96,272.916,632.965,8754.63,1033.42,520.27,221.048,53.9044,62.8185,456.776,1897.32
