"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
209746,84742.4,-2.85687,-52.4199,51.0136,1502.27,68.1302,771.698,1363.84,0.00861752,23.0762,-6.5767,67.7919
157467,83103.9,-1.18135,94.218,233.314,1071.86,139.233,475.91,611.107,30.6082,-18.2817,-13.3203,79.078
27072.1,55493.4,-7.20538,-64.3449,1589.36,4123.63,204.581,455.745,326.361,-5.39314,-0.750606,-13.9611,25.9982
214350,80623.9,-19.6724,100.314,618.878,14585.4,112.09,602.713,481.303,40.8097,-12.1285,59.3006,69.8148
83780.6,115721,-38.0052,-10.2998,2424.72,4150.23,190.365,82.79,75.0784,52.5441,-20.0757,46.4736,210.469
178122,66986.1,3.46625,113.932,100.248,7997.38,89.771,50.2814,145.826,8.32442,7.88097,-14.1797,19.389
191557,67506.5,-74.4071,173.716,413.127,6323.28,119.212,529.305,292.613,79.3932,-33.8412,61.9951,294.898
203015,86282.9,-73.9318,13.7269,56.3415,1363.79,107.958,557.974,537.59,-44.0265,-16.6023,-24.544,42.8624
310180,193338,100.991,73.1045,563.077,78.2443,266.002,139.191,679.147,56.5106,48.6997,-3.27511,342.786
204343,91711.7,-129.984,106.866,207.969,836.557,120.825,1820.06,1188.05,-53.0604,11.578,-18.5512,189.901
155678,88756.5,37.2814,94.5277,189.566,2185.05,146.192,97.5203,139.72,60.1512,6.20408,-23.5297,112.405
70101.9,68860.6,3.26068,56.9408,411.928,59.0243,155.023,610.31,263.757,1.52486,-1.84869,56.5949,149.956
140163,67737.5,-40.4693,34.7424,334.726,1594.67,107.552,128.306,183.478,21.2091,19.8599,10.4424,170.228
204306,68772.5,32.1599,-10.318,40.5706,2775.94,50.0842,792.253,581.791,53.7651,-37.915,-35.9765,9.91283
150521,62833.4,-163.001,229.669,488.334,4587.91,233.441,16.8874,25.0645,104.129,-16.5437,13.7585,320.703
236164,97395.9,-58.8279,-12.3056,108.753,1848.89,144.33,670.357,1667.14,-29.7138,16.2438,-49.198,87.0413
160169,56964.4,-59.2566,151.433,311.761,1924.45,186.459,291.777,168.108,44.5636,4.38945,-7.54302,162.884
144650,56949.8,-27.3875,158.325,477.49,2482.88,287.884,113.984,237.212,-1.27406,-20.333,22.2549,418.091
215158,105931,-14.8448,-19.9538,124.323,851.182,88.7025,-2.38505,539.763,-19.4367,-3.55569,33.0915,33.3392
164938,191222,144.591,57.8662,2273.15,106.438,389.531,158.955,471.787,50.9084,6.10494,34.6575,488.534
149008,62487.5,-39.553,28.9622,1334.99,3195.82,88.4421,299.22,265.019,40.7005,16.3602,20.9481,83.4491
208722,219627,116.025,148.799,5755.52,91.6434,433.456,163.357,477.306,13.5429,-6.33705,54.1446,840.379
243420,95259.4,37.8451,69.04,161.985,857.671,154.401,811.902,1016.21,-86.8214,5.23703,-45.8545,44.5345
195930,81827.7,-75.3834,87.9,123.216,1898.8,63.8639,1348.69,850.699,39.9432,-13.8925,-16.5547,78.649
159318,71816.7,22.4019,125.285,145.065,7005.29,82.6564,75.2948,140.496,28.4507,-11.4809,-8.23533,49.3739
127584,80909.9,-42.1828,139.06,1420.92,551.911,303.497,43.317,107.662,-44.2808,12.896,16.2909,331.644
195485,76450.9,-15.3346,36.7936,97.3661,1904.09,43.7554,-37.5438,108.845,36.5086,-22.1192,31.8115,17.7793
187441,91720,11.8888,15.6036,239.503,1386.15,192.798,918.565,568.759,38.6051,27.1556,-40.0492,65.6975
163331,63708.2,45.6737,6.42555,1309,3209.26,114.649,128.138,312.01,-64.9635,11.7781,-15.1597,132.925
144000,129941,66.1033,96.9435,1410.53,1223.24,227.835,170.699,242.805,55.5153,11.4315,-1.22293,175.542
158191,79259.1,-49.3794,-5.12162,119.531,2428.08,100.853,1422.95,481.765,862.511,-31.5018,36.5132,159.362
180327,65162.6,-63.7983,109.027,44.4438,281.067,57.4973,403.855,116.419,-3.66494,25.1531,-8.65076,58.5061
221802,66835,-104.431,55.3072,60.6759,948.299,109.057,528.572,788.567,13.8978,2.78326,-2.6251,76.9784
103661,56216.6,-48.4985,-26.5954,703.08,4646.82,125.892,77.9936,97.6649,27.8595,-15.0909,10.8383,44.3654
147838,56175.9,-56.1628,67.9634,1139.7,27.1758,78.0061,276.175,307.59,39.5104,15.0845,-8.96605,84.2533
128431,57206.4,-94.3,109.742,352.758,14.8548,95.9865,556.413,302.723,-13.0246,41.0094,-29.7174,158.135
176021,76559.6,-117.601,116.097,293.046,1768.57,95.2301,109.685,444.511,9.69517,6.85995,-29.3189,86.5835
203045,94343.3,-287.752,33.1484,96.6676,2354.95,104.215,1233.84,1070.95,16.0517,-6.12544,-41.3768,57.5677
153201,75534.6,-14.3745,-4.78971,493.71,1598.08,79.6342,47.9694,256.526,-32.2971,-10.3688,13.0199,61.2356
156871,68614,-103.587,199.175,568.518,406.995,244.868,90.9838,46.7124,-8.36555,-5.52872,46.5807,528.77
15880.8,17187.2,-15.8651,46.8306,707.507,577.86,60.3072,144.28,117.865,19.0385,-18.4737,5.45742,-3.84756
143775,111107,-153.849,126.503,1308.15,383.291,160.948,133.545,152.279,56.1768,-8.7564,-13.9622,261.377
207196,104897,-107.839,-5.32317,443.159,3353.62,172.866,49.3419,149.007,60.9598,47.1917,-27.5412,189.747
180054,79186.9,62.9164,53.9883,242.167,1082.54,128.165,97.5436,241.043,40.6754,-8.7974,0.69958,96.3716
138131,84770.9,22.856,240.547,828.173,4384.56,459.777,417.882,557.669,27.4372,16.9325,19.605,539.937
208805,104564,-36.3831,110.146,234.337,865.093,99.3704,793.207,573.221,4.24649,-17.9099,54.4973,139.947
210778,97201.5,-96.9324,37.5029,199.934,1007.11,158.487,979.695,983.659,-1.58336,-32.1054,67.558,113.116
190715,55320.5,-62.2642,98.9025,460.358,5362.62,155.181,-9.9319,96.4073,46.2135,22.5522,-37.6136,370.311
121183,86584.3,38.8214,181.324,265.98,13747.8,125.676,782.003,515.505,17.77,-14.8119,69.6699,142.432
147527,69241.6,-53.7112,168.048,407.798,127.369,186.624,363.79,114.552,53.9135,47.1734,-55.2025,280.18
198131,68241,-32.3936,-9.76592,230.663,-36.6904,111.483,461.245,502.294,-51.56,-19.7185,10.3545,81.9797
177145,91067,-29.2621,1.56163,535.958,2779.07,93.9675,69.0538,508.578,28.6286,-14.0132,18.3593,92.9773
186804,78938,-15.3835,71.8797,78.0045,1461.12,99.4702,459.356,224.951,-32.2558,6.26332,-16.449,91.2966
185055,88837,-18.6599,27.7116,84.5147,2034.1,111.956,1132.04,1085.71,27.5291,3.39019,11.6193,75.9246
122828,67623.5,-40.8972,94.6497,704.781,4120.78,60.1319,752.35,255.595,40.4526,-9.29367,5.38588,107.553
172260,72901.1,27.0919,-38.7621,221.669,8604.99,52.7822,76.4527,368.875,-1.86861,17.4771,26.3503,4.06895
186846,78450,-11.2801,60.0596,399.538,510.11,106.848,12.7954,147.169,18.0701,-17.4762,22.1798,52.5578
144222,64390.6,-33.8103,116.428,407.39,5144.45,155.454,887.394,400.423,-22.6897,-8.54539,28.7215,383.591
212978,74392.7,-158.672,67.2504,48.3178,1888.39,103.786,911.926,702.733,-22.1845,3.59949,11.482,33.1039
67862.8,54445.7,-4.76501,-65.7619,1025.37,4340.64,207.443,89.2238,137.177,27.0724,31.0383,-22.0859,130.574
