"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
100581,20082.5,-56.4906,158.836,88.8562,117.145,254.77,236.022,138.95,70.7768,17.3718,26.5851,18.517
46233.6,29032.5,-184.564,432.104,1209.88,2632.01,451.857,164.423,160.657,91.9717,13.7324,-4.57202,124.803
75526.2,24329.8,-206.586,566.482,408.456,2202.01,670.342,401.316,211.973,87.0233,44.1752,-64.6059,184.102
89106.1,35097.7,-146.438,695.18,90.9918,4482.32,150.012,652.708,420.259,72.5672,-30.451,26.5445,107.647
101935,30383.3,-144.253,192.144,75.9751,157.68,241.852,382.698,231.318,53.0683,31.8911,-32.3974,40.522
126931,19671,-75.5257,272.015,151.569,1851.3,349.661,311.778,268.678,64.4634,-6.95682,-54.6433,90.8486
145098,31239.8,-91.6519,563.623,26.5274,1205.88,16.7126,80.1438,436.73,152.046,8.15222,0.0302946,27.968
99726,27785.1,-10.9424,99.6233,11.1257,100.711,180.85,259.374,213.895,-15.4871,-17.7478,-21.7374,47.2834
126236,31770.1,-58.2641,90.5318,52.7828,8.50348,133.446,521.238,375.815,14.2176,25.769,-31.5291,25.2486
85043.1,24762.4,-23.2483,97.6513,161.913,-65.7977,316.932,104.172,272.749,-21.3391,21.2793,-45.3535,34.6566
59043.7,23838.4,-101.596,163.503,516.682,243.838,390.453,398.426,282.464,5.81255,-19.5028,13.944,49.9808
116910,28773.1,-33.9166,245.874,621.005,2946.91,819.12,141.535,-64.2946,93.3316,25.1995,-43.6223,160.508
117522,30846.4,-27.5451,95.9572,60.0829,38.8173,109.44,877.589,798.931,23.741,-13.4552,-4.5868,98.0476
67884.7,19136.7,-49.3535,424.456,620.047,2262.19,478.747,246.053,136.972,96.6237,17.2403,-42.2596,44.9173
128653,41655.1,12.4855,61.5013,198.271,-71.2556,611.267,212.398,444.701,12.9212,16.0369,-4.21901,57.2365
81172.9,62206,-114.268,97.992,428.239,36.7603,4124.35,569.869,220.182,21.5699,3.47375,-26.4814,30.5632
107669,19383.8,-27.3146,196.538,48.5316,291.889,112.046,199.551,264.836,20.2304,-12.4018,-1.50099,54.1078
73205.1,35897.1,-53.6899,226.971,249.293,516.164,612.189,206.528,271.962,18.8502,-10.1523,-2.68217,60.2966
99317.2,25148.2,-133.5,491.945,251.742,3299.23,505.325,128.448,35.5513,104.161,-6.33279,-27.5856,110.918
118372,26495.5,-165.995,612.604,331.444,3164.41,517.576,152.597,170.289,102.744,-20.7032,3.81781,110.387
41955.9,29139.4,-16.9759,124.822,558.833,-48.7147,659.219,89.6499,381.6,-20.8767,22.6981,-41.5412,189.264
86627.4,27207.1,-22.6751,108.986,185.15,159.631,807.188,501.065,354.356,40.7124,15.6018,-2.63886,157.279
123805,57196.9,14.9606,135.444,605.508,2553.37,891.236,347.976,652.572,18.658,-4.01629,7.61868,110.655
296927,86805.2,-339.938,358.083,168.69,623.446,665.051,1184.03,1719.93,34.8411,7.31364,-26.4725,168.731
111192,17374.9,-616.525,89.2924,286.693,-241.366,628.36,18.1108,499.919,-49.0295,46.4442,12.7684,111.845
117487,39574.1,-167.725,216.551,237.52,1415.4,317.129,103.578,378.017,58.6668,-8.49749,-12.1446,106.801
118697,47237.7,-59.3817,150.62,382.277,7000.3,323.051,47.2974,211.004,85.3945,10.2898,8.0434,123.811
104492,19331.4,-123.677,174.436,175.342,2159.77,143.926,238.358,319.142,-21.442,40.7343,-64.3416,65.3305
51867,21636.2,-96.9213,450.265,146.452,3389.66,831.384,548.129,354.221,43.967,-14.2947,-22.9107,122.201
133090,30724.9,-58.1979,85.8859,110.262,-95.4413,173.794,523.137,446.089,-10.7933,-15.6914,-20.0723,41.5345
86088.2,39736.6,-135.751,118.782,466.753,1176.8,594.706,533.003,275.445,8.21914,39.8316,-46.9566,2.15759
114282,48728.8,-9.0806,22.5929,332.448,596.985,252.662,896.899,1047.57,-7.63251,-54.165,2.56823,68.4779
116136,37176.6,4.24847,197.19,113.648,800.558,315.765,408.34,753.456,45.3845,16.5192,6.9398,45.5872
115895,43359.9,-94.6553,214.587,945.352,4784.45,481.358,87.0245,254.945,69.3447,33.709,4.01769,132.287
129862,43096,-146.369,90.9887,83.5796,292.161,339.32,59.8532,380.415,6.9806,31.0982,-30.0713,46.8358
70754.2,26742.7,-383.541,159.869,675.981,383.598,484.474,17.3741,469.047,60.9421,16.1868,-37.1703,108.498
107198,45447.2,-55.4295,43.5159,35.1465,495.361,35.6644,672.359,524.111,22.9782,47.7258,-75.3254,9.40589
70087.9,46317.4,-131.607,-14.7124,364.392,4803.91,381.744,95.5755,275.739,102.014,-0.890334,-5.72296,-31.3559
66294.9,44910.7,-179.035,163.476,314.78,2112.71,391.946,374.463,430.016,60.6321,7.92815,-12.1605,69.1837
74152.9,42518.4,-12.1919,380.554,357.629,5404.99,369.211,96.2493,139.885,119.666,30.4413,-31.6895,42.7256
87046.8,50712.7,20.7123,165.458,125.541,11189.9,417.074,575.669,647.465,126.253,72.0047,-19.9061,160.074
70212.6,22172,-68.1813,4.66516,80.0334,341.767,334.53,220.838,458.346,3.35856,-18.6074,11.1394,48.942
38433.1,28196.1,-473.822,181.384,982.937,343.524,1159.33,465.739,363.69,-15.9843,47.2731,-62.5145,-0.80648
145859,38170.5,-38.081,54.4444,51.7254,151.652,184.014,852.948,822.051,-22.19,-1.60825,-19.515,26.0028
68676.2,31317.5,-54.5457,209.293,559.91,2695.54,654.929,121.23,103.679,60.4188,-7.50021,31.0003,141.151
133439,52322.3,-8.41095,57.946,687.043,11948.7,239.937,101.268,489.228,109.923,-10.3896,13.6808,27.9219
109231,40298.3,-160.425,236.174,261.239,8081.57,748.988,114.369,121.34,52.9221,-9.70142,-3.67751,68.4225
95441.7,36831.1,-80.6352,67.5813,582.523,569.002,456.334,419.052,404.527,40.6609,-9.27606,-34.312,47.2134
45128.8,38377.9,-120.035,206.202,980.907,4858.57,456.225,110.528,139.037,132.608,4.34341,10.0074,68.723
89183.1,42565.4,-13.9597,73.3467,97.0127,680.03,191.026,1123.01,660.22,35.3194,-37.9149,15.1635,89.2838
