"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
20699,28584.2,-31.4691,91.6177,2599.52,4402.85,392.874,231.541,101.996,-7.15236,8.09852,-26.7855,49.2726
96692.5,42885.4,149.347,-53.7421,985.732,3842.64,969.679,440.345,350.447,16.0145,6.58505,0.571467,127.753
141666,46604.2,14273.5,26.1261,210.106,6921.76,184.309,56.7113,-12.4762,92.4813,13.2078,196.38,1424.91
109303,39255.5,-115.687,113.505,1399.26,194.858,1051.23,8.23016,301.44,39.2694,10.0521,21.1959,86.5935
115029,41389.1,11.4315,-5.66668,1035.32,4578.86,327.044,-3.54715,422.147,52.8519,32.2452,24.138,76.804
107433,39725.7,-93.4534,66.8501,1349.55,5676.88,787.135,71.297,65.009,44.6783,-2.56885,-7.0959,125.078
88941.9,27578,103.036,100.008,997.552,1610.63,873.551,380.492,270.249,-26.9905,-32.7255,23.3325,72.266
117097,42628.2,32.8656,-24.8153,1797.74,6565.4,605.345,29.5773,147.686,-4.18205,8.85044,-1.15484,130.932
74444.1,37084,202.541,20.2077,1012.76,2188.71,945.619,299.351,176.065,23.9673,-4.33361,-44.4787,99.2924
74365,44795.2,0.7854,108.567,553.387,37.1355,393.39,60.0006,222.578,90.3077,14.9397,-26.067,4.69291
90269.6,33254.4,-56.4196,64.3277,1074.23,5504.77,939.13,84.1569,195.067,30.8032,4.24489,-14.789,115.5
41742.8,42133.8,-18.6084,72.9247,1924.79,1796.88,1026.62,412.036,426.88,-8.57416,-25.658,9.85028,167.396
126413,41728.4,2575.5,507.422,122.416,4772.87,105.025,301.389,404.752,30.8103,2.36378,73.1481,9756.23
72576.8,24534.6,-0.742126,87.1815,473.397,383.23,270.127,292.622,177.56,-10.9308,10.3089,-9.57528,63.5143
26820.8,43983.5,-28.5207,187.239,1070.61,3648.98,419.161,525.068,300.254,30.8295,6.26797,-8.27617,186.409
43200.3,29781.3,-14.4398,46.431,737.562,801.723,348.732,259.387,278.841,6.92267,-19.899,17.3927,104.286
115472,43836.5,71.6405,38.8076,234.587,65.7686,187.469,692.438,705.476,51.8827,14.3018,80.9058,50.6811
144495,41877.8,77.0673,-65.0387,83.6137,12477.1,219.178,447.587,845.469,-7.1619,-26.8939,22.3553,108.294
96748.7,48094.8,1401.35,257.572,145.319,9696.42,371.342,439.404,495.487,36.5308,1.30255,1633.98,2084.17
61288,30599.2,74.838,115.255,666.89,2086.69,266.973,415.064,289.326,39.2309,-4.84782,-24.7815,-2.26952
54520.1,38425.6,-58.4717,-21.2547,1334.44,3880.6,360.169,471.918,397.08,25.2948,-24.7868,-28.5872,102.387
140554,42131.2,3123.29,1198.22,132.248,205.616,134.09,892.553,1010.13,81.7351,1373.4,129.182,53.5527
33658.7,22559.2,40.6758,29.7085,278.256,244.485,204.922,323.158,230.396,-13.9702,-29.3701,-17.8161,27.8683
101079,44844.5,18.0037,75.6221,1465.23,4875.19,665.795,101.976,327.979,-39.508,9.10361,3.14289,106.368
121114,41548.5,5879.16,326.407,182.668,3701.3,147.441,49.8745,226.462,0.463593,33.8429,306.149,2896.6
91820.2,43268.3,14.0817,77.0384,261.772,95.972,316.37,554.374,618.608,62.8347,11.3909,-28.2866,56.1041
137485,44196,4001.94,50.5708,35.2872,453.296,197.169,396.512,498.585,23.2387,-29.0996,143.853,3489.56
137706,42279.9,2168.29,572.684,65.612,202.607,94.1116,1938.49,1317.14,468.336,-26.2348,69.6671,207.667
115970,36402.3,-58.8906,103.305,722.968,6621.55,396.915,75.0124,270.297,28.6247,26.9297,-9.7251,142.174
118192,27621.6,5245.08,89.8802,57.022,522.475,74.5377,394.114,343.463,4.86514,9.37915,67.5005,1075.18
84341.4,42634,8.55121,147.014,1232.84,7476.1,831.926,78.7144,309.017,13.4509,6.16757,20.5298,115.274
91886.7,40524.2,41.7846,1160.17,74.6369,7086.58,289.511,514.019,916.333,49.1367,16.4107,120.716,1128.5
83090.7,32543.9,4.05783,-20.4968,1292.14,2189.99,647.168,327.575,327.68,35.7675,-10.4183,-4.59177,88.641
102411,53842.4,67.9075,57.5695,261.529,186.556,294.212,534.424,550.187,23.2657,-32.1241,-1.84663,82.4936
60689.2,36847.8,14.3774,31.3135,1293.54,2160.08,1005.47,236.971,263.477,47.2297,-25.1242,30.5167,91.1461
147636,34223.3,785.934,468.025,17.987,175.668,46.9574,482.819,318.141,52.2222,141.078,2.22,14.0716
9389.54,25618.1,-19.8404,33.347,1685.37,3230.99,279.677,78.4509,54.0287,6.60901,15.0264,-31.3548,11.3511
13394.7,30059.4,48.1039,23.7437,1262.26,2317.64,324.021,113.117,222.889,-27.1135,30.5984,-46.5858,57.343
