FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
73828,54138.1,35.8683,177.136,274.858,112.543,585.843,813.176,584.598,-33.75,43.3048,-11.216,147.446
70218.4,54911.1,-168.258,399.508,1275.18,4733.5,1171.93,428.355,254.663,8.55274,11.7105,36.9553,185.934
88266.7,51603.8,29177.2,964.485,512.527,11236.9,661.243,474.99,266.512,28.9932,92.4492,162.482,1349.57
113493,41560.4,831.638,109.374,34.0941,840.197,91.0827,119.758,526.003,-39.8876,-10.7078,30.9563,-10.5748
162281,175106,78427.3,1770.97,763.764,15771.2,2332.8,1579.09,1280.75,211.148,210.422,442.72,7824.91
106030,36924.7,11542.2,300.3,220.273,1627.38,509.651,348.428,311.223,58.9795,94.5633,86.5068,390.085
78334.1,41689.4,34723.7,683.616,234.256,665.394,400.171,213.426,43.2874,139.178,52.2066,222.241,4506.6
114746,42123.3,5689.58,947.376,75.7425,104.342,449.437,1066.98,812.699,-12.1075,41.1489,10.8728,2053.48
111383,49228.1,4078.41,340.198,12.3782,94.2636,167.436,766.553,1115.67,-0.068079,0.0888271,395.152,1375.16
112739,43480.7,2932.08,1087.69,53.9226,131.161,61.7446,654.702,233.571,33.2499,166.795,-11.5181,47.0372
99620.5,29770.1,5274.4,453.122,94.7364,130.111,402.317,1027.59,129.723,2.25492,12.3634,-2.41163,26.4009
84128.3,38670.7,21009.5,466.099,188.371,1480.65,603.681,1027.03,265.303,122.749,50.1063,105.902,9504.93
62197.2,36330.9,195.356,234.596,423.363,-10.5858,1311.98,1190.65,767.687,-46.7253,49.3913,9.75791,492.449
97820,49323.1,25688.4,1047.06,240.084,186.577,962.546,700.659,495.909,31.6918,200.799,537.586,10094.6
119687,51624.4,2381.15,99.9642,199.565,1244.05,193.539,112.424,296.547,23.169,-3.92457,8.81884,446.186
115505,40967.2,2516.35,357.8,1495.64,2422.55,958.947,411.016,156.93,-30.2301,53.2289,9.83208,288.228
113655,53958.2,17371,264.868,148.328,727.338,184.678,1293.95,881.612,-32.5442,-64.7508,198.593,4531.89
39850.4,66511.2,-48.5252,322.433,753.008,6545.58,518.72,173.71,132.819,55.3818,-27.6491,-4.35906,162.163
78011.9,70409.6,32682.4,530.148,463.901,683.135,782.361,745.605,201.871,76.7526,-30.6116,-9.93423,2904.27
106118,59689.3,24678.1,241.577,226.677,8335.48,225.254,87.0266,94.6481,110.77,3.94629,259.006,6360.01
75346.9,55626.3,8926.26,336.978,50.8116,118.725,265.504,1187.17,952.658,-21.1488,22.4278,38.7224,614.778
68223.4,47815.8,14162.7,322.997,277.677,819.802,775.45,824.524,745.574,-41.4493,173.651,190.068,7692.67
129892,60174.7,3061.96,193.533,35.5978,683.99,212.801,733.14,321.142,24.5438,-21.75,65.5886,176.762
102127,45368.8,20270.1,380.192,290.326,1633.32,870.441,435.81,24.904,235.527,130.947,85.9301,5096.1
54923.3,33688.3,-43.8182,220.048,860.567,3379.31,352.388,178.349,91.8826,2.56731,33.2362,-68.741,28.2126
88636.4,56409,14289.8,722.321,33.0545,3648.71,359.198,621.323,423.615,12.9651,16.3678,470.847,1939.57
120735,43481.5,17633.2,316.509,114.754,637.917,308.65,203.431,197.936,34.5664,29.8373,102.512,1947.03
114990,30430.8,-107.49,111.044,11.6663,11.976,57.4898,583.21,83.2076,277.342,-49.6104,58.2254,5.64691
78766.5,31788.5,9158.85,84.2556,129.674,1843.03,439.966,395.161,469.839,-14.5222,25.2317,13.9738,764.04
213139,90351.6,23630.3,783.329,361.836,12517.2,563.025,1312.19,1155.37,60.9399,37.3868,795.088,4300.89
108111,44842.5,8848.95,1047.97,121.873,1062.7,340.576,707.932,699.67,71.6884,33.7729,675.218,1665.02
105346,29757.1,1185.45,128.08,16.7486,-75.0651,219.217,1099.34,460.689,-33.5944,-1.09916,-8.6556,91.8159
106751,48960.1,21697.1,1072.22,65.5435,567.808,311.952,783.92,1102.41,-22.9548,31.7917,245.89,544.886
105208,26245,4484.95,152.792,108.291,1860.92,337.095,299.688,412.081,-28.2072,45.526,-13.8378,325.964
90372.5,48738.8,36470.1,796.277,310.064,6525.56,519.037,178.882,-176.372,176.044,64.312,390.823,3736.1
85876.9,63193.4,-10.4236,175.487,1689,7169.75,1878.46,593.665,411.73,74.4043,57.4291,8.49228,141.878
78856.1,65895.5,16.0646,178.077,2441.54,5362.4,1013.98,185.968,322.945,29.4326,11.0924,22.6508,97.7151
93695.4,43471.9,14601.2,31.0059,115.778,9428.65,290.194,152.263,282.414,35.5745,39.1321,33.7931,2617.81
127820,66777.8,11436.2,311.626,17.725,86.5955,47.9594,996.973,725.519,53.3097,-22.5422,34.6791,992.052
103042,45348,20984.1,205.922,407.681,2086.15,253.023,172.794,313.915,-30.5713,23.5075,165.976,1586.56
127985,40941.2,15088.8,735.377,137.265,266.44,315.541,805.664,387.53,54.1784,-11.9999,69.3701,4542.11
110084,51361.6,17843.5,317.821,643.403,656.157,391.212,243.21,153.156,71.4081,77.0695,110.36,2376.66
85155.4,66539.8,23683.6,450.545,1537.78,106.064,2798.18,698.304,431.139,-19.5087,43.1748,-20.9187,237.401
