"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
111830,54522.6,-17.0178,24.7199,137.83,10064.2,133.329,126.141,250.422,-2.33046,6.05582,-14.6565,99.9703
41083.3,80495.3,-13.621,117.956,1531.13,142.704,416.949,85.5153,242.275,30.5441,-12.3385,-11.7478,108.844
121922,46392.1,32.2885,22.6552,85.4803,568.909,102.038,51.0239,106.685,-30.9276,15.5113,-13.7249,49.546
108971,41560.5,14.4529,79.2916,135.963,7354.58,137.354,54.8981,207.579,41.7272,34.8519,-11.8625,64.8416
113246,57628.2,38.3481,-500.482,932.416,6333.87,2347.68,1093.33,437.904,206.378,38.4291,-66.1471,18.9452
109408,49879.5,102.718,42.464,330.925,10315.6,289.748,41.0238,255.241,-22.3419,-5.93731,23.6004,148.892
135826,84854.3,16.9417,112.242,239.676,14018.6,464.341,191.229,409.472,61.8338,16.2147,14.9977,202.019
105777,43193.1,-346.806,143.062,66.7349,4540.91,245.078,921.2,-41.1878,16.669,-11.0738,22.366,42.093
118866,64972.4,-11.9623,12.3868,-6.14267,6991.31,46.1474,46.4996,304.792,-25.7217,-8.87808,15.6264,-48.8366
111574,29281.9,-16.9249,44.3034,254.784,3674.14,574.044,96.9862,153.785,25.1521,-13.6868,30.1552,284.001
124988,42155.3,-11.4507,81.4536,171.279,113.546,153.41,6.40036,158.066,11.6384,-5.24458,27.3246,49.1276
80125.7,65751.6,-48.0609,124.104,551.658,2202.85,381.428,92.774,259.816,-27.4415,-31.741,26.8302,111.6
124402,39713.7,-81.0921,153.278,148.955,325.28,315.038,54.429,123.5,-45.6693,6.15905,3.02813,48.8626
121524,57811.4,60.1489,-58.721,225.863,9130.67,355.674,103.407,217.473,83.5648,29.1138,-7.35756,174.253
99664.5,46680,7.04849,97.239,97.1486,5005.04,161.015,44.0091,225.073,22.6108,11.4171,-8.63169,85.5794
124065,61375.9,22.3133,18.5862,576.529,461.882,615.078,51.2543,204.405,-23.2339,-12.2512,20.3401,93.5013
120840,59095.6,-220.244,95.4175,694.482,9162.5,393.152,127.338,188.652,30.9525,-7.80791,-6.96541,107.894
104646,38172.8,-166.691,83.2161,185.035,-17.3653,404.64,1438.11,115.954,917.951,-18.5129,-31.7162,82.8521
117927,36446.5,-59.8148,91.6689,303.364,1035.89,527.074,377.033,151.785,48.8365,26.8224,15.464,1.32766
95763.6,55381.3,1.88861,-6.07294,415.998,14762.8,411.018,114.623,397.342,73.9672,26.0106,-38.1488,137.663
31326.4,41629.8,-238.081,-85.1886,1024.27,8244.45,712.773,1788.94,192.916,71.9594,9.62877,-67.0119,13.3259
120761,53674,-181.467,114.431,281.275,245.177,2331.6,3123.15,268.97,144.523,-6.47408,-112.26,-5.69126
120324,42353.5,-15.7952,-164.495,293.338,8841.92,248.285,13.6862,234.416,7.91629,-0.00212342,24.6978,51.2328
130056,39917.7,-64.6678,-80.6714,134.433,16920.6,423.117,520.077,437.185,36.6737,16.3267,-26.7379,90.2997
99602.6,58736,-25.7346,39.2234,1152.3,87.7039,430.097,85.1982,109.295,-36.4353,4.23634,6.29714,102.669
136243,75038.9,-82.9622,178.511,221.121,1607.72,561.359,446.48,669.725,-24.8305,-5.97815,7.30044,226.357
102429,53012.8,-87.1488,5.25401,134.742,10865,324.505,465.013,608.142,45.2926,-12.768,30.5505,126.379
75061.8,60316.5,-24.1652,-83.1029,88.3779,11574,259.644,66.0592,334.458,33.2268,5.22358,-35.5892,103.08
123643,57900.4,-84.0273,36.8306,209.442,679.005,378.99,796.38,1499.6,-36.084,-3.8879,61.4297,134.912
109619,46017.4,15.7854,-14.4372,243.488,961.561,270.002,-3.69128,418.507,-38.2253,46.0852,20.4495,163.965
115175,61364,-41.8723,21.3187,71.0072,801.865,313.423,902.101,921.706,11.1936,-15.5072,5.47506,99.1709
69812.3,38378,-6.61133,67.1176,193.902,658.515,205.69,39.5548,154.903,-9.59565,16.616,-0.594151,61.7969
114910,56033,34.78,28.666,476.922,3117.34,357.027,231.754,387.355,32.5528,7.69918,3.91296,204.77
98497,53794,-161.719,-186.956,289.555,9083.77,190.635,115.86,227.925,31.1404,-34.3645,28.2945,69.0329
89420.8,48827,-35.2437,148.972,132.447,6478.86,249.55,25.374,225.789,7.73999,4.85393,24.8804,66.4143
239963,197634,80.077,222.334,1037.75,20910.5,2015.8,1093.79,1223.58,7.86252,19.2638,151.478,1132.7
130454,32416.5,-91.8687,65.6743,29.9186,2896.46,207.95,54.9256,13.4924,12.1952,-11.3103,16.8388,26.4047
90554.3,60747.3,-67.3762,-272.123,815.947,12507.4,493.417,121.399,260.298,86.7708,14.5956,21.4478,60.1338
131739,54656.5,-4.65851,24.1702,-13.8574,7158.02,215.789,502.764,724.372,-3.86642,-31.8566,-92.905,83.3522
75214.5,43765.8,-23.412,-84.352,586.939,11639.3,288.783,68.4091,202.201,89.1461,-23.1735,55.4594,104.28
