"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
182570,98238.8,-66.3728,74.0361,229.286,1349.54,150.809,613.871,873.994,-19.8262,29.8688,14.4862,104.386
165262,98439.8,16.8867,23.1295,69.5649,102.812,215.354,625.881,731.966,-15.8731,-39.2943,29.5597,146.456
204886,90788,8635.83,409.525,125.368,1066.68,190.079,442.002,780.739,78.5593,-24.2569,2499.27,133.997
195766,98120.1,6050.84,1212.42,105.401,1279,136.505,533.904,736.529,7.24941,27.5257,1887.1,243.13
133255,78904.1,-17.1319,31.6932,365.651,6913.46,552.916,337.238,83.4265,35.2791,67.5964,2083.47,169.199
411810,135654,5380.69,124.868,691.782,2304.32,234.171,167.403,407.94,-22.699,9.44689,335.269,2772.5
135880,72746.6,-82.4347,14.5811,536.504,5298.93,281.256,424.47,240.525,27.2214,-5.97471,414.169,330.295
26168.2,50478,-11.2689,28.9274,1256.06,670.496,181.425,66.844,48.6209,2.09308,-9.70399,2.36273,79.3492
260208,109232,22255.7,1310.6,173.843,5301.14,97.9263,1042.55,410.995,72.9886,29.4369,2194.86,19844.5
154592,77377.6,-77.9234,232.137,1623.43,2764.12,206.153,87.1976,77.1133,86.816,-22.1782,5.69249,323.23
173543,50920.8,-81.1349,156.111,963.434,3219.31,388.994,103.765,154.99,-0.998726,17.3956,40.9824,358.684
175216,76444.2,-114.657,126.202,237.562,84.1872,219.617,643.995,-90.7154,632.677,-53.5831,1459.83,123.85
199755,94928.4,-12.9903,31.2634,305.685,3604.98,116.03,480.021,396.448,0.272603,-29.7992,75.3256,28.1562
153169,60706.6,-12.2363,104.433,252.721,286.085,97.6653,682.004,173.044,-28.07,5.31718,1176.48,390.178
239890,85017.9,19943.5,2443.51,135.688,955.971,14.1646,575.776,829.478,39.4988,28.9358,1767.23,6009.28
207194,103154,74.6292,9.30291,139.092,10275.3,127.847,787.788,792.821,38.1241,47.4867,-30.6372,182.091
169926,75828.9,-54.2481,1063.41,104.144,44.0261,149.838,871.584,744.088,1028.44,-16.2702,172.399,79.1706
169408,50239.2,14331.8,979.032,65.7781,388.423,78.5604,843.769,369.298,89.6568,-1.52641,707.435,1980.04
169235,90786.8,12.4506,209.166,1032.52,862.53,217.655,133.691,193.567,27.5795,21.0421,-18.9733,509.183
170975,71013.9,-66.3877,123.219,66.7969,8931.91,113.321,341.8,27.6832,7.68523,12.9024,67.8344,23.3851
111134,84725.2,-205.138,356.003,457.945,69.1237,327.851,782.074,0.847586,1102.01,-21.2531,-26.3738,519.303
182917,79070.7,-65.1259,-2.78486,376.06,6522.37,172.952,475.285,81.6248,80.792,-13.0427,207.699,106.68
125908,67218.6,408.31,93.3854,636.531,633.956,176.953,72.7347,171.123,123.559,12.3897,36.9544,302.629
160529,51205.9,-111.871,79.0816,175.046,140.647,176.423,567.308,33.8474,892.072,15.8444,461.875,121.245
171294,104905,-54.8031,1507.57,475.565,901.339,124.255,1907.82,528.614,190.471,7283.01,755.826,190.932
174530,85638,360.991,7.21808,35.4816,746.16,182.008,399.204,687.788,18.7385,42.8329,32.7568,89.7054
195685,88151.2,-78.9321,871.217,112.633,154.903,73.6274,917.502,45.2831,32.9076,-8.047,2384.36,149.184
51757.3,54644,-161.249,205.078,1142.6,4909.25,52.8542,58.3137,199.834,-43.9648,6.02133,9.43585,80.0789
