"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
160042,37413.6,30.3857,-7.21949,76.9985,70.7738,65.54,418.603,79.3071,646.083,6.27513,2675.69,123.02
175928,79853.6,-29.8862,163.565,227.336,7625.63,117.038,668.031,22.0431,38.4542,12.5891,1682.95,77.5181
55497.6,82334.9,-185.72,67.9754,2538.48,186.345,150.518,403.133,117.769,48.5949,20.3173,34.409,40.3199
153083,64770.5,-279.691,113.518,426.141,111.521,245.802,549.637,-51.2057,1137.47,4.6153,-21.8662,282.276
178058,45685.1,456.527,222.934,48.1101,-13.2095,63.0044,833.655,-146.691,617.799,-45.998,2011.91,170.078
148986,71670.3,11.7939,116.73,351.244,63.6221,192.065,904.832,427.272,331.979,29.1474,14.2335,220.89
171329,58752.3,-8.31985,161.217,186.254,7383.58,144.457,64.789,184.827,69.421,22.0232,-33.8006,197.068
154140,104945,368.426,139.269,394.145,5515.15,103.778,174.988,103.55,26.0477,-26.0219,2612.71,413.192
106110,66577.1,169.676,365.273,171.705,322.728,348.804,696.623,318.018,8.7975,3.68913,-11.4664,810.521
104118,99545.2,-165.124,42.6776,1350.71,993.443,141.418,208.364,252.973,-15.4327,-32.6869,54.2375,229.366
145771,77070.2,-114.18,112.094,203.888,-26.4054,46.7811,600.601,62.3175,1288.52,30.3803,1983.15,171.196
208752,66108.8,12922,3232.11,159.343,262.797,468.053,828.007,849.594,127.387,-42.8789,600.165,21092.9
85204.9,73673.2,-215.859,84.9163,635.259,6423.69,114.157,619.301,411.15,38.7869,16.3821,39.428,89.2641
205874,78740.4,708.31,785.324,71.4538,616.634,83.8988,1384.88,821.757,15.268,-15.994,1826.94,86.5718
204169,71749,647.962,221.764,55.0781,114.393,102.405,699.137,471.446,41.5858,-10.2685,464.776,241.895
153094,36312.5,-98.9821,226.251,111.814,137.993,141.413,349.214,3.91014,967.735,3.2134,-1.1036,623.689
175326,82767.4,-189.12,11.5027,45.1295,23.6618,102.744,460.861,63.6464,752.459,5.65771,203.77,90.7351
201054,51265.2,182.927,78.6799,47.9575,-55.3259,78.8017,659.28,113.632,633.792,-50.3434,170.667,50.2145
204821,74102.9,3450.68,183.482,57.6909,132.162,81.9408,1275.47,753.574,-32.4375,15.9534,925.708,15194.8
206289,94732.5,11126.3,337.086,70.1828,646.454,53.7461,392.509,768.1,-38.1861,0.4182,385.8,4681.18
144096,65346.9,-10.7468,53.6994,153.368,2335.66,130.886,302.628,409.345,-33.5062,17.3905,-13.7526,188.65
164557,61157.7,7343.17,312.478,1531.16,1707.39,12108,134.185,270.786,34.4006,30.1505,1532.73,5723.22
136699,36613.1,-174.006,243.065,365.56,34.6495,571.987,341.466,-86.1208,679.378,-34.9798,456.208,515.266
193466,65799.3,6414.29,1620.52,70.4156,100.636,38.6446,1434.81,244.076,1073.29,32.5849,508.61,2354.63
180409,88405.5,6725.75,30.8324,469.348,4614.78,251.741,221.986,276.398,4.16775,5.18709,752.997,8953.13
167597,93548.7,-69.0273,159.928,330.206,8685.61,71.2108,664.881,84.7003,18.0557,11.7282,1383.72,148.864
185530,107799,4093.39,124.082,361.314,5917.99,244.208,116.191,271.083,41.3809,8.06202,563.342,3484.47
37398.5,96764.6,312.352,178.683,2381.05,-1183.87,-223.357,129.584,1167.36,6.98665,5.08323,151.451,3032.06
187200,80381.4,17827.5,44.427,161.184,756.555,14.1908,40.6868,135.677,-3.84069,-1.5711,1412.14,7189.84
408211,114493,15150.4,285.467,115.527,2608.01,76.3849,181.969,-46.3439,35.3291,51.9673,1389.18,3957.91
162569,77354.4,9229.49,1530.12,73.6242,7070.12,31.9541,211.116,258.311,71.2754,-44.6068,922.358,27170.2
60111.6,79633.3,-143.246,127.918,821.613,8878.42,64.8546,305.679,504.303,17.651,22.8527,-47.6518,47.6562
157840,47692,-80.754,64.6097,67.8416,74.287,225.895,524.342,18.4968,764.013,9.41191,1500.17,141.557
203992,80602.7,-3.19299,-24.3959,95.8843,2616.4,53.632,157.081,436.943,40.1977,44.4227,2457.74,349.642
128981,83932.5,-102.013,168.666,993.033,1813.9,204.26,99.7882,144.741,28.7189,10.2728,10.6396,593.4
211548,77928.3,2600.9,1450.29,151.209,10613.7,87.9082,464.423,782.963,-106.003,-38.1441,3432.13,14637.4
136460,70815.6,896.261,215.221,300.222,1751.95,107.132,181.455,176.536,16.9382,-62.7105,4911.05,3226.99
148516,69599.8,50.0769,142.921,1142.76,705.378,248.563,377.261,180.99,-11.2523,30.2248,-15.2993,418.206
141541,70429,3882.31,1513.82,113.266,-179.526,64.3573,1124.57,517.527,1171.58,12.7618,552.618,180.172
168013,71920.7,-149.53,173.592,1356.88,129.875,244.754,266.856,175.263,-28.4383,67.2808,2.27743,665.862
204840,81238.7,30.5959,28.686,92.4551,700.509,177.785,802.203,1022.05,29.9977,14.5088,-44.5248,163.127
167780,71921.7,-73.1421,126.805,206.862,43.4152,154.791,1709.14,19.4163,798.125,-47.9462,2537.64,180.536
114377,95963.4,-106.016,109.937,1895.44,107.203,128.678,542.036,308.859,6.05355,-8.89914,-20.3946,70.8741
125837,49962.7,-202.337,197.566,124.889,710.704,190.044,415.091,-93.3007,-10.9281,-20.7813,-21.4068,614.876
222236,80484.8,9264.95,89.1377,68.9235,198.314,37.7736,511.002,717.39,-41.744,-5.68287,624.819,3633.81
165696,60346.5,397.064,43.9161,128.64,1437.72,212.158,411.879,474.257,17.497,58.8409,1233.18,2345.22
75330.5,36410.7,-100.253,69.7573,623.307,2986.21,15.464,77.2422,92.6088,15.3988,27.3053,-29.9695,86.8558
141247,59163.7,-224.484,227.886,477.059,2354.74,207.078,389.122,-38.1037,70.945,-14.8654,73.3524,645.949
174154,65070,9349.71,301.917,433.853,7901.14,106.164,653.561,451.087,-20.2328,57.361,2294.87,2403.6
38805.7,51561,-90.0474,93.6876,1539.45,1126.45,60.6941,846.233,507.135,35.5898,3.01489,-46.8691,64.923
63528.5,49133.4,-2.97098,61.5689,949.543,2030.12,111.889,141.795,283.981,18.8522,-4.98128,-43.105,26.3948
163223,50860.4,-238.392,252.52,694.128,2626.72,147.829,507.397,49.5562,33.9536,-15.4254,29.3643,773.511
187538,52199.3,-16.1212,143.237,362.923,1623.89,102.947,126.314,195.863,-0.818385,-16.2235,18.7248,281.03
195073,89011.2,-106.899,129.772,514.092,70.0977,311.529,634.293,551.19,-2.12565,8.67623,5.62915,551.106
191446,53929,-64.2258,58.5086,12.567,7376.77,20.5493,131.062,259.161,7.85098,18.1002,-23.0501,84.0374
184394,69627,-28.741,144.698,510.204,2163.86,155.881,109.861,158.737,21.0974,50.1752,-17.2664,395.812
136132,84561.8,243.846,89.8214,416.172,546.198,252.153,842.298,410.221,-35.7941,28.99,145.812,492.598
113101,94364.1,109.68,63.4833,65.3124,82.346,69.1952,755.824,698.167,293.854,5.43884,1544.69,1008.56
192722,78370.5,6214.09,590.357,113.817,-18.2997,186.649,815.496,249.987,385.07,-3.01508,2721.54,267.455
188944,74143.5,5224.83,235.192,129.151,8611.15,56.4708,330.97,432.572,82.9686,1.86594,853.012,394.322
84374.2,68207.1,-63.3282,116.818,80.2928,67.5303,326.107,1037.74,482.755,761.557,-17.9159,-44.2699,115.594
224148,65462.1,4460.62,1278.24,59.8132,135.504,53.4847,773.947,862.399,461.468,-20.4765,2721.64,328.271
190693,80690.9,1472.2,3776.6,184,297.12,424.943,850.269,639.877,71.4833,-3.20267,1486.79,185.918
166262,63749.8,23.6307,9.63848,212.958,7857.95,66.3862,125.835,251.056,7.77064,-18.8419,2453.29,724.62
183907,55496.4,586.83,147.881,160.682,-41.1431,103.229,673.799,54.0659,830.703,-7.24004,457.144,134.124
149157,87635.4,-60.1685,122.99,1244.4,5463.24,222.904,836.142,230.15,66.3036,13.5615,-29.4067,348.134
472354,146390,42837.2,608.457,232.059,2246.02,777.895,491.905,695.772,125.091,17.7303,1079.38,16587.8
185926,90664.8,23.2175,44.1944,95.3064,250.998,78.4413,619.436,791.407,63.3148,-14.5026,3.14256,90.4321
192416,75027.8,-12.3924,-46.6524,134.88,409.843,46.3723,326.195,109.764,6.00467,-36.3134,768.612,345.099
195604,82924.3,15211.2,640.467,212.284,657.578,49.6261,166.602,260.876,47.0171,-48.1683,1667.11,1284.68
171794,68137.9,-30.6132,177.98,792.789,524.859,191.28,132.621,276.879,45.3563,2.04527,-19.2262,296.31
232396,62073.9,6475.92,918.174,62.0771,361.135,163.824,663.566,763.982,28.0661,6.53849,321.686,1899.57
62180.8,84302.2,-186.889,155.99,1748.84,1222.79,84.3372,85.4596,348.999,19.828,9.32177,-26.9452,74.1336
87978.5,47590.6,-14.6534,19.8406,942.784,5980.22,51.6976,682.598,329.194,20.8689,28.2547,-21.8368,1.59895
173218,76106.6,-143.193,185.252,830.668,1179.55,167.79,63.4093,212.085,5.79944,-3.10805,5.60832,475.582
182547,88173.7,347.149,19.5867,151.846,1089.57,39.3388,81.0184,187.32,50.6736,-11.6057,40.6265,152.85
47731.8,32461.1,37.4621,60.2096,1083.46,805.662,71.0974,107.903,265.968,-30.0801,45.1481,-43.8827,13.7674
203963,65276.9,1865.48,114.986,236.993,3361.57,15.4579,183.488,114.378,22.0576,-27.8257,2488.44,6130.61
181477,44433.5,-197.521,164.664,74.7257,-11.3211,90.1088,740.997,-57.6351,865.821,10.4139,3465.61,173.665
149665,72797.2,-37.904,49.835,791.221,1460.33,149.141,213.494,455.535,-1.67319,5.8666,47.6167,418.375
154653,61243.2,1172.25,203.254,128.502,-34.8768,88.2599,836.343,318.012,905.523,12.8651,2793.56,308.288
209261,80394.9,327.917,106.39,154.842,9437.18,101.947,177.993,128.125,9.69283,-0.296043,1477.78,633.897
187363,54260.6,-121.162,27.5093,203.639,7778.68,22.9823,214.287,124.368,45.0041,16.7979,270.485,54.1168
158974,53467.3,-55.6495,118.676,122.305,70.5855,91.4898,591.229,92.3225,530.255,-10.6371,643.458,204.382
185980,64249.9,34.9724,-29.2447,120.789,6784.38,83.4856,201.126,224.566,15.8456,35.8482,2558.14,430.255
155917,89875.4,-31.7159,217.201,684.68,1143.77,135.494,75.7771,49.9585,32.6998,-1.91982,-14.1434,330.583
144852,65918.2,-67.016,197.753,315.433,-11.0546,136.149,685.057,173.485,-37.2233,19.7672,-8.57596,453.856
164753,70042.9,-65.7907,185.046,500.991,514.881,134.462,218.225,221.108,6.3684,-7.2557,5.0413,360.07
149848,110121,9.93903,179.715,708.193,9099.53,200.712,703.48,733.528,-8.05454,-13.0404,4824.39,12.6899
175180,44070.6,-150.918,86.4622,298.408,112.86,55.7539,171.978,-39.4043,47.8848,-36.2713,305.316,221.862
20612.7,70883.9,-4.90311,41.4358,486.477,9.46605,118.613,85.8239,95.1027,-10.7313,35.2815,0.627647,81.7666
167354,98789,76.0345,30.036,462.858,4039.31,146.549,102.567,648.799,33.8509,33.0248,1532.7,775.749
182192,81931.4,28.1044,148.544,878.764,5421.76,126.697,513.184,325.987,29.0853,-18.4217,40.0618,355.664
108369,104781,-112.816,61.1474,1432.78,7779.99,132.609,937.864,1173.28,61.1354,-31.9456,19.9192,96.5796
215936,69106.1,-37.8348,34.9579,77.5677,5948.92,97.2065,427.034,182.008,14.721,-19.8662,784.946,344.047
48893.3,92398.3,-24.8368,-90.4493,1553.47,8363.83,94.7954,108.635,281.179,-30.7645,5.53636,-33.6363,89.3229
78769.8,36526.9,-99.3547,32.418,356.869,51.8436,183.131,436.324,174.253,254.446,3.20034,-59.3437,65.2374
189929,73881.8,16355.1,2142.47,286.681,1901.48,98.6434,768.487,392.574,119.816,-7.39598,2299.29,33991.3
144840,28713.5,-260.402,116.608,116.976,5931.85,102.588,336.14,-52.0027,55.8359,-16.0959,837.573,247.533
164300,76866.2,-188.354,329.284,266.636,-40.6363,232.457,641.234,41.3654,25.1714,-22.9217,56.8209,777.818
188869,85554.5,15388.7,370.169,196.57,8732.06,81.3159,655.756,347.79,65.3733,-18.5811,611.277,7158.76
