"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
24481.3,33113.8,-7.83139,123.466,928.546,2018.12,143.495,25.0147,28.0254,41.8047,2.37172,-8.86051,17.4966
176137,74838,6.02484,4.82394,587.359,2723.46,107.19,34.7701,185.097,-14.5242,2.6235,-19.8483,326.05
184873,82002.4,-45.4938,78.9175,386.343,153.542,68.322,36.8639,190.425,10.3684,-0.403395,12.3528,102.035
38497.9,76477.9,-23.0701,8.77573,1209.67,5654.33,141.119,114.771,194.146,-22.2739,27.461,-51.7647,96.1185
136672,97164.9,-374.198,154.119,998.073,572.029,79.2582,548.274,95.3472,-3.94898,-1.53081,-18.2254,235.425
87989.1,63566.6,-232.908,112.356,577.974,119.527,106.324,216.807,352.941,25.2304,-3.70717,35.2651,89.6193
91294.9,76355.8,-101.773,77.5894,997.735,7989.33,222.951,376.806,338.562,7.85368,13.9579,0.358441,123.263
73809.2,82590.2,-49.2121,58.8052,1424.95,3750.22,130.863,146.751,188.065,20.3355,4.29132,-50.4095,107.894
112890,60523.3,-73.045,118.811,142.867,232.324,110.985,-15.6072,217.909,-0.189466,64.3543,-18.7998,248.105
180298,138683,-134.901,72.9282,1005.5,1857.99,284.554,71.5328,208.507,-12.3997,-2.62993,-0.752533,110.36
145973,75253.1,-106.247,24.1885,563.993,3918.95,136.197,485.863,463.229,-15.3903,-16.4362,-11.2793,155.791
140238,81153,-51.4231,-111.04,346.867,4124.81,21.5944,38.1855,97.8232,50.3434,-15.2897,5.08619,25.6969
182225,68779.1,-43.9976,112.522,447.657,5789.23,93.3259,32.6466,141.638,76.3254,15.6302,-7.8701,95.8861
137943,74867.1,-59.448,134.026,612.04,3180.84,88.0511,53.9384,122.328,32.6375,18.2447,-19.8867,308.538
168115,82805.6,-219.509,93.4975,91.548,75.8824,113.082,864.362,921.335,78.4895,27.4019,-48.6246,113.346
146155,101841,-19.3495,64.3062,283.709,1453.66,92.3551,89.9926,185.03,2.52287,-1.39859,9.4437,91.6918
22633.6,73610.9,-55.0192,57.5814,1324.85,3090.36,132.2,88.7634,254.771,45.5222,-11.3737,42.1229,25.7269
125646,61777.2,23.8619,256.782,392.672,5378.04,66.0697,79.6159,51.6356,29.7639,7.05106,-26.7937,153.325
190669,71085.3,99.652,-5.67805,246.494,8265.09,71.9093,116.1,191.6,10.3899,0.463279,1.45806,75.9072
153082,66504.4,-83.3224,-39.9675,866.439,5393.49,126.838,69.3251,42.6434,40.995,-25.6115,16.1066,190.852
190994,88982.2,-51.2023,26.7671,153.701,-185.451,159.86,1025.03,1208.04,-8.31322,-16.6176,-53.3775,135.667
262413,157218,-175.155,139.54,2356.01,9338.48,289.688,124.051,269.64,64.881,-18.587,18.7853,233.344
140409,71362.2,-26.4633,61.0622,1275.31,3912.4,194.456,58.7663,58.0694,47.827,-7.61078,5.89921,183.376
195660,73111.5,-46.8054,75.6189,67.731,139.172,139.045,662.332,428.096,33.2681,-26.8773,75.3939,53.5567
212433,82588.8,-177.63,93.2482,154.887,23.2433,110.889,466.667,775.625,1.22984,29.4312,-33.7772,65.027
124914,71543.5,-64.3856,20.7062,469.145,3324.06,162.562,536.501,247.288,-7.25597,28.5846,46.257,212.818
222108,95115.3,-16.3307,172.919,103.962,128.659,131.05,571.235,791.221,-21.1421,-18.569,-23.784,123.754
117399,86955.2,-81.2314,-27.4248,1701.2,5523.9,185.373,112.197,218.227,-13.9603,-4.24505,-35.1844,120.692
128753,74947.2,-52.7543,22.1315,1173.68,4250.65,60.2124,60.4593,139.917,34.7005,-18.5495,7.06288,56.6201
111071,54929,5.16431,21.7043,1688.83,2876.07,83.3592,77.2938,141.898,12.5725,-19.5769,23.3864,4.88821
178945,62759.5,-8.54263,45.9319,385.251,1673.34,119.972,30.4472,124.232,25.6956,13.0456,-11.1891,267.861
86279.7,87319.7,-69.7967,112.676,361.866,6656.59,64.4812,382.399,326.705,13.8028,-17.2628,3.09902,22.468
150890,74579.1,-1.5464,87.0181,565.947,983.073,149.29,-3.09673,162.677,-31.0813,29.9606,-1.90615,136.471
120413,63685.7,-79.5959,147.981,527.177,580.888,147.765,37.3657,73.0657,34.5079,52.0992,-52.9032,314.91
31199.8,83043.7,22.8571,-13.735,2582.98,3384.84,147.075,66.8735,88.9941,-2.88714,24.1512,20.8355,36.0909
193331,74261.8,-0.297241,15.225,866.496,4583.69,84.9503,91.2968,77.5155,61.5704,-7.18467,-13.6367,225.133
116575,97398.4,-9.44621,57.8376,288.256,267.429,84.8548,96.1643,160.773,7.2487,-32.3211,-13.5254,52.6882
164004,52808.8,-129.018,9.2191,269.106,1208.11,72.8031,44.386,170.154,25.823,18.9751,-1.26539,80.9346
130469,73605.6,-62.9823,46.5913,845.117,264.907,181.288,219.714,199.406,40.7978,-14.9054,37.0192,247.751
131385,75682.8,-12.5756,46.6751,1214.94,3464.99,187.764,379.688,182.826,65.0911,-20.1461,-16.8938,155.619
182917,82029,-34.5548,30.2307,1012.61,5046.74,174.234,373.297,148.698,36.2114,-43.1274,-9.00193,199.701
181897,73263.4,-30.1174,63.1204,315.671,9674.88,142.118,323.462,897.563,13.677,-20.6201,36.2807,145.425
219462,102786,-81.7236,134.562,165.742,-22.2968,50.3,1177.63,1504.73,32.9518,6.69363,-57.2628,271.9
