"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
153188,61530.6,40.5118,52.2369,146.144,-184.642,158.297,1231.68,919.748,17.0558,-36.9745,-5.3577,122.678
116886,64491.4,-53.4027,93.0826,473.339,17599.5,178.232,631.375,702.266,-61.2803,-27.9033,5.08356,137.18
115255,26265.6,-142.662,121.649,67.2545,-84.3113,57.2005,477.847,102.456,1096.5,-47.7793,53.8569,60.3297
127698,45321.5,-95.4594,86.6599,150.531,5.06496,188.716,957.144,11.1814,1424.5,53.6015,-17.7487,187.823
117014,29679.3,-44.8203,80.6379,226.584,42.5943,158.135,798.44,485.816,29.4168,5.22368,-61.6445,174.681
88194.9,40208.8,-83.7277,256.071,759.649,-30.2895,651.785,631.492,-21.9029,959.954,-41.0221,7.95443,460.546
108140,57271.2,156.993,169.06,342.44,17520.7,122.102,1023.52,359.066,77.6894,32.5222,25.6842,158.843
100986,43919.6,-5.89462,113.081,183.915,1247.84,135.45,452.03,168.823,65.5667,1.92986,-29.0093,74.0966
124584,55796.8,-18.5682,108.315,201.178,1585.12,176.366,807.508,409.495,31.7001,15.9077,-37.0456,142.148
123133,56075.6,-39.6323,162.128,129.043,13559.6,308.822,878.58,742.465,34.7439,26.9543,-12.4816,171.266
92009.7,42893.9,-4.18549,94.809,168.336,10926.8,309.171,432.559,278.015,93.5316,-4.95441,52.7872,239.795
134909,62108,2.48175,-47.5997,112.195,17841.3,204.803,315.516,716.023,49.6016,26.1276,32.8442,112.114
109580,64883.6,-122.125,185.311,590.506,16.7313,515.039,880.803,145.642,1418.86,-32.775,17.5895,273.833
103232,52435.4,-93.2603,29.3154,313.602,-107.312,321.695,1171.88,676.349,26.9117,-31.4554,2.22661,163.867
114165,56492.6,-18.8494,274.508,444.601,15061.4,316.184,514.82,305.871,85.3455,0.714408,-40.9903,64.9372
122250,46891.9,-75.5316,64.1629,313.774,-101.92,266.223,870.401,570.854,97.1839,23.6086,-39.1155,188.742
115137,41000.4,-221.132,86.7229,289.817,-144.262,100.493,976.179,95.6713,960.959,-7.92546,15.8449,159.433
122093,55284.7,-7.59708,317.322,367.822,15040,325.56,516.816,410.133,88.9016,24.5089,-24.0297,147.257
120629,99891,-58.1458,84.4647,817.145,-30.502,591.235,754.65,172.495,311.746,-33.1238,21.8264,275.589
105845,44915.1,8.24199,67.6864,244.599,11494.7,163.453,419.383,74.3391,54.2742,-1.68868,-16.6837,72.6021
112932,45153.6,-114.212,162.708,161.485,17259.3,249.147,771.323,348.319,86.0038,28.6323,-17.6076,135.109
136698,55707.1,-142.286,141.979,105.161,-276.728,190.594,1821.68,900.225,2587.59,-10.4899,-26.9713,192.376
137704,61406.8,-94.2021,50.2471,191.175,10402.2,104.763,543.024,85.4136,65.6011,-42.8213,30.2461,109.655
98243.6,24352.6,-79.1826,46.2844,34.6356,19.8701,20.291,593.263,-61.7096,1535.64,-64.2065,44.7111,95.0173
113685,66644.4,-35.6202,126.909,711.726,15299.3,290.768,178.711,370.105,88.7113,-26.1611,-19.5676,112.252
123794,47731,-83.2766,55.7369,174.741,-170.123,197.639,851.38,621.274,221.515,-16.8645,16.0529,112.221
110899,43622.2,-88.2081,177.888,208.602,-148.774,129.929,989.361,534.666,51.3318,-12.9095,-4.00678,128.261
