"FSC-A","SSC-A","TNFa","IL-2","CD107a","CD8","IL-4","CD28","CD95","CD4","IL-17A","CD69","IFNy"
68284.7,65075.7,-130.889,146.722,710.722,3220.44,875.734,157.589,308.908,-7.43283,-35.1261,-41.5645,243.41
121210,40258.6,-175.879,221.726,103.551,-16.476,159.507,852.603,-65.0572,1014.62,52.6033,1730.67,121.769
100011,53933.8,-53.2294,163.389,1424.1,3872.43,489.128,84.2753,247.858,57.4725,26.3612,-27.0176,247.194
90387.7,61018.2,1770.7,152.308,137.524,27.0892,500.469,863.113,295.359,893.156,-16.6225,2863.2,129.898
119988,44640,2953.7,126.437,146.703,2647.66,76.0133,98.013,212.178,50.7122,-20.5167,112.907,908.699
44388.4,50085.2,-6.96539,325.766,565.951,55.4976,827.832,356.558,28.1651,6.43991,18.2465,-43.4263,145.196
112978,33330.3,29.789,15.3673,75.5625,4659.36,175.958,17.6997,189.441,-9.44296,-12.0778,26.8963,258.481
153891,51852,4877.89,452.416,230.995,-75.6227,85.7682,762.987,832.782,40.0062,-48.9551,323.642,66.8076
114230,26150.6,886.759,-38.1371,65.3411,2246.5,85.416,32.9782,127.122,-19.9692,6.89065,349.048,151.062
111294,38175.4,4778.01,-30.0227,62.2308,-8.74306,66.9444,2.60226,278.684,-19.1285,10.1615,302.183,152.03
279249,90440.3,14435.1,458.66,247.855,4454.87,446.492,0.0841675,44.7189,-16.1423,-13.6306,1910.1,4355.59
82356.7,65284.6,19629.3,27.9457,274.172,1389.29,140.741,81.1957,250.686,41.4811,-15.8539,854.531,1590.85
103248,46577.2,307.494,268.605,259.004,4254.05,315.13,190.829,53.3948,5.34507,-31.4104,488.363,505.652
84112.8,58620.1,185.595,43.4996,246.771,3670.32,346.691,198.247,64.2536,25.2827,86.1098,383.346,242.203
115064,42315.3,22013.7,30.236,212.408,557.464,189.073,27.2492,153.391,58.6709,-43.8608,790.486,2375.93
249513,94980.6,7710.89,142.069,280.626,6231.75,319.105,209.824,393.075,7.42188,-81.0336,1029.58,1896.61
121664,43415.3,10919.5,1287.58,72.0742,-15.0118,243.708,919.388,411.294,57.2667,91.4875,1567.68,6842.91
138336,51364,1144.06,100.226,68.0483,3093.91,44.3604,140.307,118.91,-23.4371,-58.5845,309.19,109.693
104075,46618.7,196.729,62.3626,267.818,1314.08,109.213,85.6848,142.355,9.81944,27.2684,924.399,557.47
252781,91194,21446.3,594.807,196.059,7074.92,284.159,689.52,764.996,8.10124,-46.7388,3286.19,1266.19
96122.3,35064.9,15.8184,138.16,124.326,5935.36,204.568,400.509,474.102,15.8033,-53.0193,3295.72,5240.4
91634.2,55573.8,-208.241,223.533,1439.27,-0.877495,1431.99,129.438,463.235,-2.41889,12.8902,31.4166,224.238
119401,43696.9,3601.32,63.5362,189.773,1101.53,159.419,82.6795,157.371,-33.1423,6.61102,1226.24,1661.02
80126.4,50166.3,4383.53,134.015,200.199,3826.19,227.819,107.027,247.559,-20.4336,49.0746,2982.6,3647.94
115925,51388.8,17909.6,47.3662,102.796,1442.67,206.518,181.811,137.105,2.16569,23.6249,357.259,3747.36
156486,53666.9,16195.8,1526.42,249.843,351.461,445.491,693.365,836.263,14.4781,-18.8629,1972.25,6393.62
107029,52133.2,-101.693,118.489,52.1121,-73.3542,307.77,423.314,650.498,1.29583,16.7632,-6.84422,135.649
133310,36194.6,-14.0031,14.4632,129.993,73.4359,222.223,697.119,919,17.4234,-45.6562,180.473,86.38
311638,142648,32605.8,456.852,462.872,3446.66,720.532,449.887,654.476,93.2418,37.5219,2341.36,5437.1
133382,37493,-200.907,665.344,34.0798,-19.5359,236.795,759.961,543.219,22.0998,22.8538,56.4306,25.6336
