FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
147550,46840.1,6686.48,881.945,122.982,-69.9668,584.31,968.913,680.288,8.6112,144.26,96.9861,-7.80573
105866,31237.8,-130.01,163.356,141.834,-40.0124,112.148,644.97,-25.9989,806.376,3.42912,408.922,67.5769
79372.4,22310.1,-56.0796,324.35,90.3321,16.1922,477.708,924.165,-42.3862,469.638,-27.3125,65.5835,107.253
101566,33394.6,63.1855,-7.60441,99.9018,8044.93,369.341,572.131,160.956,19.4224,-31.2517,238.885,49.8849
111121,43348.1,2578.72,1312.99,155.353,-25.4176,334.454,865.972,745.611,78.3464,96.6269,547.393,5640.35
116891,47737.6,7702.14,543.469,12.9646,-83.7514,93.5184,1376.48,1028.79,-13.7462,26.7607,277.153,2393.67
106097,40898.8,13649.1,576.119,51.4312,-164.959,673.799,903.748,560.689,25.8915,21.7574,230.588,52.0549
100093,41960.3,997.885,13.2413,137.197,6592.73,173.31,415.117,373.33,33.0127,68.0872,146.991,131.277
42154.1,25048.1,73.2702,163.591,541.119,1047.41,147.308,456.785,81.8359,7.11449,-0.337686,2.74237,155.324
109804,47129.8,13215.6,170.003,482.318,2946.17,200.69,135.15,-0.777008,63.4743,5.60464,564.974,2181.04
131394,83187.6,26790.3,1007.15,140.939,121.382,537.703,876.042,905.141,-110.934,30.2941,392.612,5389.58
115159,26693,-142.138,158.475,787.588,784.268,1010.71,324.644,198.248,71.0697,20.5934,-19.333,10.2314
126605,73491.8,11221,1283.9,222.95,24.1678,198.681,1021.33,1358.61,-42.128,36.0209,270.316,79.6076
32788.5,31641.2,-53.594,151.629,628.632,142.62,1188.51,213.664,-23.9714,18.2357,-25.5551,32.5615,31.4728
109089,29415,2272.55,120.407,34.3012,472.522,84.3368,217.786,94.5964,22.5936,-19.05,125.561,11.8948
46092.9,26633.5,39.675,134.532,371.844,2463.78,119.099,784.004,93.0672,45.9086,-23.1664,103.378,134.082
101360,27332.3,-38.8975,34.1199,24.8381,42.7828,139.099,639.332,18.3628,937.473,0.583578,1.01187,-7.29542
255204,98144.1,39219.7,2108.87,571.904,521.032,63.132,1419.42,903.555,75.621,3465.94,252.638,4044.25
110033,55352.8,7837.07,473.034,63.9391,697.405,74.2076,495.32,372.924,45.6986,-29.8017,139.789,2409.24
121494,53584.2,258.403,98.7541,28.3232,740.281,127.931,165.561,131.361,39.6442,-4.74288,103.753,172.6
71544.3,43016.3,-239.013,176.831,269.445,26.6432,628.235,651.856,95.2482,329.138,-30.4594,28.7116,223.979
85654.3,32240.9,-78.693,-169.488,323.525,6046.95,595.396,514.04,256.372,9.01778,34.061,-21.8188,14.9594
90771.4,38874.2,17596.8,745.383,72.2679,-152.748,206.037,1351.3,569.567,32.2284,14.202,325.425,95.7931
100107,51630,14553.8,857.631,155.09,22.4403,1070.94,1275.42,-146.297,140.473,61.0414,929.118,96.7925
108439,28448.4,52.2241,182.047,96.889,8590,227.989,485.912,124.863,-0.143023,13.5336,245.689,132.209
119678,55618,10445.4,863.372,229.425,86.1243,1063.3,1108.77,403.809,55.3281,207.441,429.971,498.669
122339,58797.6,13326.3,750.442,62.7843,283.166,404.233,373.495,506.598,8.31653,68.8611,493.37,4019.94
85163,44311.3,55.553,148.206,124.337,485.735,253.597,258.871,174.41,34.4477,-12.2607,167.228,197.118
128767,52227.2,28941.3,280.929,394.948,102.743,314.196,176.467,196.33,55.2321,-17.9909,281.382,5128.84
67652.1,61357.1,865.21,118.847,291.862,1004.75,385.095,658.349,535.888,19.0608,9.71424,46.0756,163.278
77249.1,63595.4,5188.55,381.931,143.585,25.429,541.372,505.213,286.405,32.2295,564.958,290.919,184.755
68124.7,71278.9,23029.2,346.332,82.5407,388.661,192.544,186.26,-44.4212,80.2474,-8.92838,124.804,4611.63
84829.1,50398.1,4172.43,1515.83,110.246,-41.1728,662.607,1373.43,436.587,93.7655,-25.7587,740.807,145.725
95779.4,40595,11.8554,4.19768,245.706,10342.4,249.221,520.935,150.019,31.0441,-41.7959,241.452,138.29
118703,42347.7,637.044,1210.04,64.8761,13.7471,429.451,814.759,321.518,-23.8037,53.4423,245.564,154.229
101283,41287,6256.8,240.799,107.027,6258.92,126.039,701.244,506.328,-19.5917,1.61035,364.657,3181.13
91453.6,37796.4,17.4913,50.9087,100.898,10480.3,326.137,575.417,155.21,7.46424,5.28108,515.615,99.3851
91835,37603.2,497.985,151.003,118.946,4943.07,123.651,293.575,166.357,37.4737,38.469,472.24,803.758
238859,85934.5,11349.7,88.2365,87.1266,870.042,185.07,1583.25,1134.76,11.3224,11.0709,319.771,1020
85562.6,26705.3,-359.374,-83.5312,276.537,4393.03,878.135,437.332,279.106,-42.5304,-4.7506,134.36,67.497
106755,46179.9,6552.38,84.6166,52.4125,1545.76,101.768,140.128,159.753,1.72112,-11.3447,95.3569,1745.31
124697,58770.1,2658.41,975.862,85.1497,792.632,176.771,646.892,667.442,-24.9969,-12.3289,430.136,7209.3
85892.7,35988.2,-68.2394,158.967,203.859,3488.86,680.568,660.274,80.9816,54.6055,59.2146,160.204,54.1221
102326,58226.1,35164.6,1027.36,215.692,1484.12,220.698,88.0085,69.182,130.546,9.0294,361.651,7018.59
108064,35734.2,-99.4456,195.066,232.236,7411.2,83.4661,702.52,-72.2959,83.6055,-30.4635,579.043,67.806
129657,30768.4,362.848,154.929,53.6527,-13.1042,176.181,745.321,122.991,302.496,-27.5891,236.459,89.1587
124303,65392.6,19935,787.47,45.3869,356.255,61.6672,626.752,557.848,44.2114,-10.0632,602.959,2350.71
82479.1,37887.6,32.6055,865.302,562.643,74.63,1559.51,1615.13,83.392,68.5576,59.9696,806.986,118.944
