FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
104505,50288.8,-55.613,147.056,20.5957,1893.8,-2.24832,152.859,354.044,-3.10018,6.49921,23.7199,83.1028
71774.6,54287.3,21.243,106.41,479.358,7274.09,350.615,106.6,138.746,43.6302,-11.8004,19.409,153.41
110883,61983.9,-20.0228,131.508,64.1596,-10.8482,107.538,1531.51,774.292,-6.57347,6.51153,36.7064,69.562
114498,51090.8,-14.5863,98.0254,58.6772,434.988,130.281,1043.07,854.579,614.714,0.857589,25.2136,26.7163
93241.2,51968.2,-6.21149,88.9913,34.0024,-43.9316,48.3147,1118.26,1106.91,37.1737,-26.2915,-19.3023,14.439
45655.2,24027.3,-103.741,-43.2702,149.94,3766.92,361.917,668.243,355.255,-20.3014,4.99292,-29.3876,57.0769
37695.8,62531.8,-11.0992,100.549,1026.11,5158.21,446.418,71.5476,83.9303,42.9072,-7.42343,2.3464,88.0319
16024,47040.9,54.6859,57.8078,1552.03,1276.5,263.663,61.0086,84.7269,-31.3465,-4.98496,-26.072,74.9218
106711,45655.7,-61.6155,104.893,77.4156,1019.85,33.2711,30.3717,17.5801,-1.5199,-2.17298,-9.07523,39.3454
14804.6,23745.3,24.2541,58.2097,960.183,100.686,40.1687,39.3516,51.217,-28.046,-4.16825,-9.44221,48.7851
44953.9,42235.1,10.6484,8.08313,635.646,2745.98,157.962,41.7295,169.429,-53.5543,1.15872,-3.42257,62.6196
104366,107770,121.348,131.208,989.867,1488.53,395.821,91.4112,188.612,21.0423,-13.914,-1.51519,113.487
116057,66340.8,37.4983,89.3421,167.667,7159.42,240.333,138.913,264.998,59.3262,28.7805,-6.49811,140.052
110509,49524.3,-60.3282,110.782,126.732,-50.1995,161.952,1648.12,364.811,-11.3103,-8.44694,-27.433,130.522
95829.8,49340.6,-19.9398,21.0804,32.7459,10548.2,120.707,811.943,214.471,-70.2132,35.5746,10.2121,65.8239
45140,46777.7,6.32623,152.924,214.356,-58.7685,185.563,682.435,371.982,-8.91765,28.8776,-56.4964,81.6575
101317,45796,-71.1176,112.107,27.8897,650.264,22.2172,1122.82,315.082,-6.81567,-6.04247,-72.8177,-19.439
103817,54692.9,27.2891,36.4824,37.5284,-56.8179,32.3713,1492.17,628.46,-86.478,20.1499,-13.2569,24.2547
106881,46969.1,-2.44632,84.1,14.9285,4231.43,21.3837,127.114,265.805,-30.8931,-0.990113,-15.7326,35.0565
106614,64410.1,0.83844,140.74,55.5382,1744.18,90.3223,136.529,446.714,28.3796,-16.4657,24.0043,29.6494
113024,120393,-9.894,174.954,192.483,66.9808,202.723,256.026,268.252,5.99954,5.43913,23.3236,281.69
139779,46290.7,-62.6324,83.1979,80.1752,16.3087,261.723,873.813,655.793,-82.0915,-16.9913,85.5469,172.797
97493.3,59232.3,-16.372,28.3013,147.826,2730.58,209.57,155.14,203.291,-34.4532,-17.7887,15.9651,20.276
78966.6,60330.4,8.20676,6.5326,-52.9748,2222.06,32.6229,78.7591,251.724,-29.187,5.36975,1.0143,31.5794
124249,60781.5,-33.2969,113.824,59.7502,126.988,47.4316,1383.49,822.86,1094.09,43.3767,-31.0238,8.86739
104114,47740.7,-175.565,68.3022,48.635,-20.3168,405.113,1367.07,859.243,-20.6901,15.6278,12.0869,83.5836
193072,96101,17.4788,160.192,131.134,7168.66,143.035,1689.47,1567.72,108.233,-22.1323,125.223,64.9547
22259,63413,-47.2382,151.987,474.474,3263.55,270.078,55.2572,195.157,12.063,-17.3243,20.4962,114.794
98604,49857.6,-7.00406,19.9138,210.499,10237.1,247.773,1093.01,441.19,74.3979,22.1012,-21.0242,113.203
92197.6,45901.5,39.8951,71.3906,519.673,259.506,431.102,72.6036,337.456,21.9976,-8.84321,-2.9368,43.2861
33828.7,41909.6,16.8231,44.2468,773.956,2201.96,136.888,36.8804,240.917,-20.755,-26.6957,19.5094,38.4799
150005,88595.7,65.9676,215.569,180.52,10983.6,403.757,365.52,639.819,-7.46325,-26.4077,41.8251,70.1241
122367,50269.9,1.70453,61.2482,17.0632,420.069,73.1363,541.415,539.872,-0.316709,-5.91301,-48.5085,71.3497
96043.2,44698.3,-50.8856,59.1055,38.6713,178.983,45.6285,785.218,248.747,-81.3697,-25.5914,-2.20866,-7.03351
104072,40539.1,3.6731,66.3855,10.7852,-126.773,37.6954,1319.56,873.47,1073.86,-39.3678,29.2127,-2.71116
26230.5,56606.8,-39.3276,-20.3208,705.343,909.861,252.735,28.1495,297.529,-66.4064,-2.39775,92.664,123.027
58936.4,102651,49.9697,168.332,2389.85,136.975,373.862,201.761,277.038,15.0135,1.74031,20.5517,131.304
100768,42990.6,-69.9501,100.717,78.6244,-21.3204,237.286,1266.29,787.238,823.205,-13.1563,35.6016,111.669
110129,62763.3,-37.5775,97.8235,29.1488,4229.18,137.738,5.55207,332.657,-6.34908,-3.11788,13.8065,24.1619
113312,53574.9,21.7044,104.328,140.078,6389.37,189.199,206.269,133.534,-10.7168,12.4788,-36.0843,-24.9061
89786.3,55927.9,45.8262,1.16308,178.909,3306.99,108.796,42.8842,277.518,-22.7523,9.1196,24.1356,68.5765
73842.6,61853.6,69.1248,-59.8368,545.323,4083.06,177.056,62.1486,387.368,-19.9794,-0.4773,-21.6864,90.7507
37084.7,100683,9.03033,210.86,1683.12,245.578,445.826,255.789,882.855,42.4874,-18.5008,78.3656,146.432
202470,144360,71.864,132.256,1427.75,248.217,154.006,957.746,1213.81,-110.829,40.2802,44.823,202.865
86999.3,53267.6,20.1873,55.2764,553.391,1368.14,33.0402,85.9281,367.708,-45.3682,-17.6142,-6.80798,94.4171
85573,66884.7,-25.2018,35.4181,83.133,1039.09,191.69,799.378,669.812,-51.0531,-14.3907,-35.9574,78.4339
115562,51151.8,14.1931,27.1075,184.266,41.9493,231.387,1736.98,583.797,797.766,-9.02975,-36.0729,144.7
109718,53927.7,9.88287,64.6443,-0.826878,-9.92291,32.3928,815.487,708.606,-0.305273,47.9681,-47.8136,34.2577
144119,123187,127.644,132.805,118.379,4049.55,269.054,93.9464,553.242,41.7001,8.69756,37.0861,207.893
110806,53115.4,32.14,44.1702,105.362,13649.1,228.848,772.871,773.139,52.4667,-38.7691,77.5629,48.0905
136012,107629,65.1133,196.003,104.231,-5.43634,195.094,275.442,350.745,-14.2133,63.2993,25.034,114.143
119352,48511,24.0872,21.3343,87.4769,1764.99,123.388,12.5676,223.749,15.9625,21.4814,21.7561,65.6872
