FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
96366.9,47190.3,28.7918,151.835,67.8824,-72.5929,220.998,593.357,652.661,50.5285,29.2981,-0.771029,37.1422
138181,63442.5,16.657,222.809,160.866,1118.58,539.054,1107.39,1457.54,-7.44116,35.8359,4.80602,142.738
28925,40541.7,55.6579,187.475,531.056,1233.44,187.586,138.505,109.401,-14.343,-19.4647,-25.1873,32.0211
109497,36485.5,-21.9583,269.25,212.055,268.997,307.575,322.718,485.083,-10.2436,11.4547,-21.7677,77.8158
142943,68614.8,-20.8665,392.386,103.678,2383.86,395.451,554.929,514.839,77.4874,16.0509,-24.0887,97.6049
71711.4,43600.9,14.9108,81.3228,494.572,8617.31,495.451,415.56,321.737,15.6146,-5.35706,54.2714,142.42
96074.9,50317.7,16.3612,300.294,70.3782,1560.41,287.775,218.962,126.705,71.3247,28.7727,-13.3889,56.4811
108534,53033.1,7.74829,199.94,146.609,1838.07,344.634,264.481,237.779,-2.17263,2.7112,-27.3641,128.761
107050,51039.5,-13.4536,213.391,176.185,20.3395,391.072,1239.91,440.833,24.1628,-8.64791,-11.5973,155.996
118400,67795.4,5.61206,135.479,56.048,-5.59567,160.501,773.498,673.123,29.2779,-24.4167,44.2528,111.511
104409,43072.7,13.3101,196.35,64.4352,7259.71,318.653,308.465,293.481,2.09751,73.5654,-32.7827,29.0465
85354.9,28993.3,-78.2369,35.3462,143.305,8387.02,68.8689,310.729,272.59,54.0464,-15.5166,33.1598,41.6438
108131,58877.2,68.9014,271.666,130.084,301.209,418.05,882.808,667.888,-18.1729,38.1839,-75.9474,115.485
104212,45749.5,28.2428,118.771,58.2137,-36.8253,115.75,1126,751.526,-7.10613,21.5204,48.1047,85.7932
86358.8,65156.7,15.5982,211.536,258.603,3585.7,359.162,676.265,374.257,25.1003,36.9398,3.20859,41.3689
125086,51290.9,6.58215,338.676,117.842,220.697,379.361,1203.15,428.065,39.5282,-8.51952,-10.0371,22.3782
35659.9,42452.1,38.5874,381.585,686.711,2419.61,296.317,607.889,505.016,-29.2763,5.91518,72.093,220.772
105946,42144.7,82.8612,119.051,221.831,769.049,201.606,167.943,144.462,12.903,-9.93351,45.3216,71.8559
81667.6,21883.6,22.3952,50.1881,256.956,-42.1456,-77.3136,395.032,228.85,83.5159,-19.9635,-4.8817,37.1642
118312,32840.7,432.403,818.223,37.2227,51.7648,78.9899,983.771,451.292,591.466,-15.2365,295.076,66.7119
120454,62351.8,-19.8316,134.86,62.9572,-45.0488,103.421,775.345,686.513,554.675,2.04503,-13.0899,59.307
16552,62574.7,87.8181,133.574,922.106,2138.24,224.436,173.647,228.421,-2.29305,36.4244,-16.8688,39.7543
104438,45515,37.7584,-28.9055,176.233,7058.56,172.284,198.098,184.938,-25.9422,-42.6998,105.743,54.1171
51129.1,31363.5,35.3165,207.816,700.987,770.946,228.979,69.1414,16.3514,69.1077,-16.5413,34.2432,125.543
17862.5,49127.3,-56.4056,136.093,1352.16,2195.51,199.955,243.944,2.2428,68.9062,-15.4333,0.172927,66.519
91602.9,31820.7,-15.6333,172.302,164.306,381.711,199.389,1460.69,118.622,16.5607,28.7052,-26.8867,72.0103
188324,127092,112.802,486.747,258.382,1792.78,769.621,470.989,511.374,0.00842071,65.9858,-43.0879,296.129
102215,48191.9,18.6728,58.0209,32.6599,305.56,129.505,475.486,542.262,4.34995,3.71881,-3.18718,47.8871
133760,55042.8,-13.9577,380.42,96.6876,2943.01,447.58,750.243,596.806,22.4859,33.6611,-9.26782,39.3863
76624.5,24528.6,-16.8152,81.52,248.956,3296.22,27.0261,284.786,192.536,18.8988,-29.3307,45.5843,18.9756
114693,36605.8,35.6198,144.299,91.146,556.453,111.284,217.844,339.477,-6.93604,30.1596,-20.8642,46.0812
109501,23842.1,-7.91302,57.8374,64.9301,-62.4499,177.64,437.999,416.737,-19.7062,54.8365,-52.2334,112.766
78620.8,24961.8,-70.0107,101.797,202.17,559.554,270.234,29.9637,240.24,-105.805,44.9059,-42.083,35.3019
99907.8,66360.6,17.5592,159.996,77.5611,6914.96,297.503,178.52,325.236,34.4057,-5.68617,6.24925,152.122
90451.4,44058,10.2384,138.38,262.571,3541.43,366.516,188.136,159.824,3.04433,-2.53597,-4.93574,85.0267
79485.5,64527,57.3589,211.309,79.6273,-75.005,356.336,662.755,436.341,445.867,11.1645,-25.2806,84.9475
109260,59718.6,-75.1979,270.046,238.906,-66.1898,545.173,1401.84,996.389,931.497,34.758,-39.6082,132.517
86713.1,36266.3,23.9238,311.633,314.558,3851.51,397.271,929.686,256.52,-6.70644,12.6579,17.0954,127.821
104315,43850.5,13.3213,134.084,160.013,-50.0392,239.321,1253.82,771.408,347.207,-20.4589,-25.5515,123.871
102465,66670.2,-21.0322,181.682,220.989,-58.0598,328.108,781.932,647.863,47.7857,42.8843,-64.6488,113.637
146582,145439,137.786,240.314,361.039,-140.178,557.876,1052.45,1334.75,900.264,10.6143,-13.9912,453.984
106058,47722.4,20.8979,227.273,194.308,1139.11,366.279,256.339,299.892,29.4485,12.3852,5.04008,106.009
119930,48585.8,-5.44836,20.2563,60.6829,-61.3023,113.299,992.707,1101.81,6.81972,26.7282,38.5065,22.9005
96865.9,46094.2,-56.7947,184.525,104.601,4649.27,276.938,903.501,352.113,4.40386,-1.47201,39.7785,67.9302
102098,53752.5,50.4146,237.7,108.999,860.821,415.041,1018.81,941.6,-21.6048,4.41514,-5.96999,107.863
101884,61220,23.5534,362.939,384.039,6096.36,442.418,286.231,154.718,77.1136,-9.02026,9.64395,124.582
33669.9,89655.6,13.287,316.491,376.058,128.211,492.869,493.336,357.176,67.6615,-15.6672,28.7953,343.462
104687,40653.6,-43.2311,148.508,71.8731,-13.0986,182.791,1306.37,765.168,-13.3684,-19.9456,2.80451,30.1147
118758,60353.6,32.5948,354.889,98.2654,14.2649,311.54,1013.09,395.101,86.2903,24.1943,-19.9944,115.229
82191.3,57612.2,-24.6553,363.843,394.509,648.679,851.09,1173.75,948.657,5.60681,-0.269116,6.83171,138.648
69915.7,48408.8,39.4765,113.622,212.738,-52.2691,935.877,421.61,413.708,29.6045,18.2255,11.3408,179.286
57323.2,27813.4,-28.9954,164.218,468.837,2827.98,169.028,256.02,235.104,33.2611,-0.845937,-2.0156,133.3
98857.1,28052.6,10.2844,221.893,311.791,2334.26,354.096,87.8627,139.422,22.9911,-7.19978,1.12292,56.0971
95918.9,26794,23.7535,202.109,12.4317,6774.52,164.587,520.808,127.932,12.6478,-32.3565,41.4586,31.5625
27259.4,42315.7,17.205,123.618,404.821,2879.67,160.125,385.655,121.371,22.8052,7.61116,-24.4904,102.024
33523.2,57697.5,-6.11658,86.3077,542.944,841.099,269.129,63.8893,527.786,-32.7874,47.7431,-34.8632,222.4
103541,37715.4,-7.06079,118.457,37.2098,4859.35,117.522,763.8,202.274,51.5425,-19.7551,-42.5258,66.7316
113009,43928.9,16.9794,82.4633,77.6449,15.6273,161.751,1040.8,762.471,-15.0894,-0.241177,24.7912,97.0712
49092.9,47565.4,68.891,67.1725,346.066,860.809,65.5065,-11.105,164.651,19.2041,-12.0365,47.4082,116.345
119391,47065.9,52.7516,181.486,35.3912,-54.5204,292.877,622.573,339.757,25.2237,-25.3055,29.8716,112.717
70480.2,34849.1,-90.308,174.286,153.889,53.5498,212.258,446.15,271.488,72.4059,4.51201,3.14958,55.3838
83002.7,52924.4,71.5238,190.955,323.552,4304.14,332.474,167.48,193.406,-14.2381,-0.207955,1.41803,103.416
116841,51428.2,-14.7896,242.967,112.51,-16.5325,311.442,1561.89,673.442,1164.84,21.0796,8.85674,115.27
83584.5,38659.1,-18.4211,243.8,174.661,317.302,400.304,336.252,151.336,38.021,19.2681,-2.36933,171.598
96060.6,44733.8,74.9083,345.792,319.375,10267.1,413.105,791.26,489.32,64.3712,-0.694515,29.1864,64.7646
60053.5,74291.5,-29.0292,146.384,428.353,4008.18,365.434,357.876,671.407,7.1726,-12.7215,32.5009,158.353
91945.5,48097.2,-18.6106,173.19,178.982,1504.63,240.294,595.695,282.484,6.33665,51.4358,-37.1825,101.102
29035.1,27407.2,-71.7408,262.473,603.435,927.285,183.086,765.544,176.934,-28.9264,5.64848,27.9442,152.917
105496,39951.9,-43.2831,145.963,50.2403,-18.5628,89.2279,698.625,676.845,20.3225,-12.3837,34.763,69.363
31743.5,45673.8,-36.1912,148.438,1036.19,2106.42,292.218,195.962,459.119,67.5947,38.027,-17.3691,181.082
99473.5,37183.2,-6.21167,34.2364,56.8398,5682.29,181.398,208.143,252.044,-42.4485,-13.5574,5.06045,41.9853
44980.3,48594.6,97.2115,175.645,475.211,4649.74,257.214,670.747,282.444,22.8374,33.3965,-11.6168,136.902
110824,46632.2,-18.335,39.8447,24.7105,1.47309,90.8112,1398.81,628.958,33.7656,-32.2344,17.7869,52.7151
123187,56442.9,79.8754,140.537,120.444,-158.751,327.122,973.097,1079.49,-21.9062,-9.01679,0.089206,66.4479
104944,49325.6,66.1553,221.919,144.122,-66.0761,132.633,1090.58,614.277,-48.2394,55.9337,19.9345,127.801
105065,30341,64.2114,64.8737,20.1116,-16.9381,98.9687,2102.56,460.179,355.275,78.3322,-27.6004,64.1879
106076,54279.7,43.7515,184.148,81.0929,-33.8031,287.543,1005.39,713.586,46.0917,-14.4568,-19.8788,172.761
43323.8,54276.1,36.0105,124.241,806.742,1630.53,325.253,257.631,153.828,18.0186,3.42962,40.7538,102.645
81063,30997,-49.5482,45.28,116.213,4143.18,77.8735,565.158,180.186,-1.0578,7.83835,-43.4702,75.2539
56365.7,62119.8,1.25769,276.728,650.826,3163.2,287.843,323.304,464.345,76.351,19.9278,-26.489,63.6617
54346.6,70282.6,248.362,189.41,631.497,2008.6,413.769,619.758,963.451,-8.57681,-25.535,83.6826,70.7818
107824,53222.6,-80.5251,382.632,86.9683,16.9337,399.236,982.871,860.877,41.1647,25.5922,-63.8892,39.0316
94148.9,68053,6.37704,224.284,276.119,5667.19,502.488,285.726,76.3638,53.9563,49.4259,-18.4868,8.46213
108234,69168.5,10.6256,192.175,111.09,5465.88,201.815,225.724,240.793,66.8974,-4.59061,3.80626,79.1549
134019,53080.1,-37.9104,190.112,161.95,-30.6175,264.513,1808.34,476.246,21.7182,12.6461,2.75327,107.26
69052.6,33490,-30.1651,33.8489,8.23918,6515.42,66.7632,646.531,270.943,7.41859,-15.9928,-33.0169,7.77487
95356.9,36056.5,4.11594,90.9693,54.9223,8748.32,179.877,797.575,383.973,-8.99767,61.4542,-20.8673,104.201
93456.4,38489.4,-46.2899,119.483,36.5778,-8.80508,125.114,418.723,460.968,162.285,-16.9527,85.3835,113.269
16628.9,15159.4,-24.3818,97.7382,134.205,1477.18,190.678,388.259,150.133,-15.5404,16.8721,-24.4173,3.18833
16093.7,28880.5,-60.4968,11.2036,169.425,4208.17,253.411,142.899,14.9974,46.9249,26.2519,54.6049,139.608
137305,46091,-51.5951,194.537,78.2452,28.5681,142.901,1400.87,253.433,1348.26,11.8124,17.4023,45.9766
34982.8,37365.8,34.7428,130.11,213.291,573.449,417.935,221.425,164.064,3.24718,-17.8165,18.9462,82.8434
101275,45455.1,51.7312,128.627,246.153,5313.48,300.755,532.516,418.095,54.1852,4.4767,-28.4822,63.8711
96071,42751.9,-1.74115,80.5306,269.048,1028.4,247.592,115.902,216.98,-14.8665,7.66523,3.01271,139.538
38844.6,48839.9,23.1334,376.303,536.125,1674.9,207.057,228.08,453.86,-22.3343,-0.86508,25.8702,287.978
98817.5,32827.7,-46.2644,97.1578,169.546,6756.41,338.963,787.158,285.047,13.7811,6.89306,-17.7721,77.356
114044,46158,-69.2263,210.413,198.843,1138.85,358.991,391.25,172.217,17.3037,28.3958,-5.27047,102.482
41399.4,64098,-67.4557,213.255,620.258,3540.24,372.763,332.639,624.352,34.2399,-30.24,47.8715,142.384
128004,53579.1,62.0936,-73.702,71.0279,6232.41,234.827,575.375,254.958,41.7322,-26.4613,32.8199,85.9434
94106.1,53735.6,-27.9357,354.397,86.9946,-12.1553,295.861,541.753,369.586,42.2879,-16.3174,-23.9291,29.673
100266,27664.7,-24.882,33.873,82.3519,-47.7191,-8.69166,986.302,48.9016,1662.93,33.7369,-34.4846,90.2904
108280,53233,-20.0728,126.385,140.715,28.8801,277.086,733.08,582.698,19.2368,15.3669,22.9637,160.328
