FSC-A,SSC-A,TNFa,IL-2,CD107a,CD8,IL-4,CD28,CD95,CD4,IL-17A,CD69,IFNy
103835,34814.8,158.059,61.9944,259.531,419.702,125.499,430.363,375.94,-9.28882,-22.6141,-21.1808,177.722
106856,37173.2,982.403,39.9579,31.2826,-62.2353,81.9564,1097.53,781.41,0.748223,-32.4612,22.8093,555.37
67195.1,32519.1,39.691,96.932,105.806,1460.6,35.2485,100.785,131.172,13.2386,2.10303,-30.1026,60.96
102224,59654.3,1567.41,261.363,49.5879,-46.3883,110.988,455.437,451.94,-1.91825,44.8051,69.6635,851.395
131686,42020.4,972.035,-11.6865,21.6463,3575.44,85.8822,213.272,220.85,-39.7861,5.95719,-0.607979,149.232
146852,50453.8,308.93,174.257,36.5294,-22.3806,52.6954,399.601,417.938,33.7607,11.1944,-8.63279,-41.6633
115891,48167.3,3929.55,-2.7645,59.7238,4068.06,85.6765,221.451,320.027,-32.6516,-8.76801,70.8039,818.06
94418.2,38132.5,26.4086,28.1838,26.3294,-39.5506,74.4764,269.904,92.3139,419.741,22.9752,98.1071,56.5093
36407.1,47329.9,-51.9748,222.52,324.495,579.944,84.6079,608.983,123.672,73.4351,-32.5055,-14.1852,104.359
116883,43327.2,-19.4962,81.4446,4.89185,5320.66,66.4662,258.561,35.3312,-1.50924,-34.5652,24.5057,11.4399
96701.2,59096.1,102.247,-55.7181,41.9359,5548.63,199.231,480.017,828.274,-9.48853,-25.7425,141.458,22.0594
25760.4,36168.9,59.4584,-1.63603,372.259,3649.29,25.8973,356.279,308.476,-61.3769,2.42951,33.1423,123.217
45548.1,31275.2,-43.0056,21.5602,7.94011,50.4679,38.5849,315.857,20.7325,945.219,-4.75142,160.441,41.1127
85258.7,46261.7,55.1845,138.869,35.7402,2.49892,155.739,427.834,336.824,174.031,-29.2661,-17.2176,81.2667
108110,31234,343.429,-62.9753,28.5802,4169.55,38.5233,348.975,221.565,-5.72749,10.5837,-34.5382,53.0857
85800.2,40376.7,33.8431,37.1807,121.134,57.8325,122.004,797.892,410.237,0.174592,23.4885,24.154,91.0851
120167,41217.6,3.0507,-31.7796,6.00068,924.99,10.6898,58.4515,240.715,7.69602,-3.31986,-3.53993,21.1722
105143,61165.3,1045.57,198.219,71.4731,-50.7643,154.219,1136.07,868.458,46.8194,55.9854,35.5721,94.0876
196107,97666.1,1782.89,348.242,189.256,1190.96,151.251,359.885,664.774,174.855,-3.03715,232.88,1187.81
124334,44014.5,747.104,156.472,-2.65887,24.6629,40.4985,901.92,568.915,27.0989,-11.1388,5.00248,256.876
112831,37848.2,-44.3571,74.0504,168.167,1645.68,26.7183,70.4802,118.102,30.7063,-8.22557,-9.43767,34.2883
89199.8,36656.8,13.8813,37.5669,25.6831,-14.2087,77.4715,400.276,370.895,29.5061,29.2415,-26.4481,22.3829
