Filename,Sample,Group,Batch,Count,Vaccination,Weeks
006_NB85_PI_BL_CD3.csv,PI_NB85_BL,PI,D,98709,No,BL
006_NB85_PI_Wk1_CD3.csv,PI_NB85_Wk1,PI,F,64799,No,Wk1
006_NB85_PI_Wk12_CD3.csv,PI_NB85_Wk12,PI,E,94554,No,Wk12
006_NB85_PI_Wk18_CD3.csv,PI_NB85_Wk18,PI,A,113906,No,Wk18
006_NB85_PI_Wk4_CD3.csv,PI_NB85_Wk4,PI,G,111344,No,Wk4
018_NB85_PI_Wk8_CD3.csv,PI_NB85_Wk8,PI,H,120941,No,Wk8
078_NB87_PI_BL_CD3.csv,PI_NB87_BL,PI,H,44292,No,BL
012_NB87_PI_Wk1_CD3.csv,PI_NB87_Wk1,PI,F,65157,No,Wk1
054_NB87_PI_Wk12_CD3.csv,PI_NB87_Wk12,PI,H,115736,No,Wk12
006_NB87_PI_Wk18_CD3.csv,PI_NB87_Wk18,PI,B,63390,No,Wk18
012_NB87_PI_Wk4_CD3.csv,PI_NB87_Wk4,PI,G,79276,No,Wk4
024_NB87_PI_Wk8_CD3.csv,PI_NB87_Wk8,PI,H,71081,No,Wk8
003_NB88_PI_Wk1_CD3.csv,PI_NB88_Wk1,PI,I,34037,No,Wk1
026_NB88_PI_Wk12_CD3.csv,PI_NB88_Wk12,PI,J,98422,No,Wk12
012_NB88_PI_Wk18_CD3.csv,PI_NB88_Wk18,PI,B,69842,No,Wk18
028_NB88_PI_Wk4_CD3.csv,PI_NB88_Wk4,PI,I,84661,No,Wk4
012_NB88_PI_Wk8_CD3.csv,PI_NB88_Wk8,PI,J,62191,No,Wk8
012_NB89_PI_BL_CD3.csv,PI_NB89_BL,PI,D,11065,Yes,BL
008_NB89_PI_Wk1_CD3.csv,PI_NB89_Wk1,PI,I,70119,Yes,Wk1
016_NB89_PI_Wk12_CD3.csv,PI_NB89_Wk12,PI,J,109860,Yes,Wk12
024_NB89_PI_Wk18_CD3.csv,PI_NB89_Wk18,PI,C,90230,Yes,Wk18
031_NB89_PI_Wk4_CD3.csv,PI_NB89_Wk4,PI,I,83140,Yes,Wk4
008_NB89_PI_Wk8_CD3.csv,PI_NB89_Wk8,PI,J,99665,Yes,Wk8
006_NB93_PI_BL_CD3.csv,PI_NB93_BL,PI,K,38693,No,BL
010_NB93_PI_Wk1_CD3.csv,PI_NB93_Wk1,PI,I,52469,No,Wk1
060_NB93_PI_Wk12_CD3.csv,PI_NB93_Wk12,PI,H,8581,No,Wk12
030_NB93_PI_Wk18_CD3.csv,PI_NB93_Wk18,PI,C,101627,No,Wk18
018_NB93_PI_Wk4_CD3.csv,PI_NB93_Wk4,PI,G,96052,No,Wk4
030_NB93_PI_Wk8_CD3.csv,PI_NB93_Wk8,PI,H,114452,No,Wk8
013_NB94_PI_Wk1_CD3.csv,PI_NB94_Wk1,PI,I,86032,No,Wk1
032_NB94_PI_Wk12_CD3.csv,PI_NB94_Wk12,PI,J,108853,No,Wk12
018_NB94_PI_Wk18_CD3.csv,PI_NB94_Wk18,PI,B,90982,No,Wk18
024_NB94_PI_Wk4_CD3.csv,PI_NB94_Wk4,PI,G,119993,No,Wk4
036_NB94_PI_Wk8_CD3.csv,PI_NB94_Wk8,PI,H,50626,No,Wk8
012_NB95_PI_BL_CD3.csv,PI_NB95_BL,PI,K,53758,No,BL
018_NB95_PI_Wk1_CD3.csv,PI_NB95_Wk1,PI,F,45321,No,Wk1
012_NB95_PI_Wk12_CD3.csv,PI_NB95_Wk12,PI,E,44587,No,Wk12
012_NB95_PI_Wk18_CD3.csv,PI_NB95_Wk18,PI,A,96168,No,Wk18
037_NB95_PI_Wk4_CD3.csv,PI_NB95_Wk4,PI,I,74638,No,Wk4
042_NB95_PI_Wk8_CD3.csv,PI_NB95_Wk8,PI,H,43328,No,Wk8
018_NB99_PI_BL_CD3.csv,PI_NB99_BL,PI,D,22672,Yes,BL
016_NB99_PI_Wk1_CD3.csv,PI_NB99_Wk1,PI,I,68406,Yes,Wk1
066_NB99_PI_Wk12_CD3.csv,PI_NB99_Wk12,PI,H,104784,Yes,Wk12
024_NB99_PI_Wk18_CD3.csv,PI_NB99_Wk18,PI,B,52186,Yes,Wk18
039_NB99_PI_Wk4_CD3.csv,PI_NB99_Wk4,PI,I,86193,Yes,Wk4
048_NB99_PI_Wk8_CD3.csv,PI_NB99_Wk8,PI,F,78691,Yes,Wk8
